route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Rare Delicacy,Pup Trailer > Greenbrier Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120456019/rare-delicacy,3.8,Boulder,V5,1,NA,39.65649,-79.81967
Yahtzee,Dice Boulders > 1st pull off > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/120243525/yahtzee,3.4,Boulder,V4,1,NA,39.69248,-79.81151
Mad Hatter,Ronski Feint > Interp Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/115172854/mad-hatter,3.6,Boulder,V6,1,NA,38.07878,-81.07696
Bulge,Tilted Tree Corridor > Tilted Tree Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107041792/bulge,3.7,Boulder,V5+,1,NA,39.63321,-79.80525
Mr. Gnomerson,Gnome Boulder > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/120248371/mr-gnomerson,3.9,Boulder,V8,1,10,39.69069,-79.80237
Crash and Burn,Wave Rider Boulder > Fiddle Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/112497542/crash-and-burn,3.2,Boulder,V5,1,15,39.63361,-79.80602
Brain Storm,County Line South > County Line Boulders > Park Entrance Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/118693384/brain-storm,3.8,Boulder,V7,1,NA,39.64907,-79.78648
Ronski Feint,Ronski Feint > Interp Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/115172880/ronski-feint,3.8,Boulder,V7,1,NA,38.07878,-81.07696
High Roller,The Hilton Boulder > First Bell Boulders > Snake Hill Wildlife Management Area > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/118865712/high-roller,3.8,Boulder,V6,1,NA,39.62721,-79.83871
Power of Light,West Block > Road Blocks (Route 73) > Park Entrance Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/123183601/power-of-light,4,Boulder,V6-7,1,12,39.66102,-79.80546
Light Rays,Light Rays Boulder > Short Creek Right > Short Creek Bouldering > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/114210934/light-rays,3.8,Boulder,V8,1,NA,38.05496,-81.03566
Final Fantasy Extension,Final Fantasy Cave > Tilted Tree Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119428736/final-fantasy-extension,4,Boulder,V7-8,1,NA,39.6332,-79.805
Sea Snake,Tsunami Block > Tsunami Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119824686/sea-snake,4,Boulder,V4,1,13,39.63259,-79.80673
Writhe,Writhe Boulder > First Area Boulders > Rhododendron Trail Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/123174812/writhe,3.7,Boulder,V6,1,NA,39.64224,-79.82029
Not Created Equal,Main Area > Rocky Ridge Trail > Dolly Sods Region > Eastern WV > West Virginia,https://www.mountainproject.com/route/122652944/not-created-equal,4,Boulder,V8 PG13,1,15,39.06885,-79.36525
The Archer,The Archer Boulder > In-Between Area > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/122532311/the-archer,4,Boulder,V4,1,10,39.63434,-79.80964
Unplugged,Kurt Cobain Memorial Wall > Furnace Trail Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119899537/unplugged,3.3,Boulder,V5,1,NA,39.65046,-79.82321
False Blood,False Blood > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119698468/false-blood,3.6,Boulder,V7,1,NA,39.69062,-79.80171
Sloper Madness,Sloper Madness Boulder > BoulderCliff Area > Entryway Boulders > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/106652169/sloper-madness,4,Boulder,V4-5,1,8,37.4744,-80.8588
Father’s Pride,Future Roof Boulder > First Area Boulders > Rhododendron Trail Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/122976410/fathers-pride,3.9,Boulder,V6,1,12,39.64215,-79.82036
Sloper Proj Left Arete,Sloper Proj Boulder > Sloper Project Area > Powerline Boulders > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/106692461/sloper-proj-left-arete,4,Boulder,V4,1,10,37.4749,-80.8602
Pickled Sassafras,The Sassafras Boulder > Greenbrier Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120456459/pickled-sassafras,3.8,Boulder,V4,1,NA,39.65647,-79.81897
Sunset Arete,Sunset Boulder > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119786374/sunset-arete,3.8,Boulder,V5,1,NA,39.6907,-79.80241
Pinch of Sand,12. Friends of Coal Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/119925522/pinch-of-sand,3.6,Boulder,V9,1,25,38.15439,-80.93714
Tables Turned,Rhodo Cave > Rhododendron Trail Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120177067/tables-turned,3.5,Boulder,V10,1,15,39.64472,-79.82429
Cumulonimbus,Popcorn Boulder > Jekyll and Hyde Area > Lower Rock City > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/121552484/cumulonimbus,4,Boulder,V6-7,1,30,39.64166,-79.82783
The Cheat Cannon,Lower Skittles Boulders > Snake Hill Wildlife Management Area > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/120401705/the-cheat-cannon,4,Boulder,V6,1,12,39.63357,-79.83734
Dark Horse,Hueco Wall > Central Area Boulders > Needleseye Boulder Park > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/121939293/dark-horse,3.4,Boulder,V4-5,1,NA,37.98146,-81.11761
Aneurysm,The Grunge Boulder > Furnace Trail Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119899396/aneurysm,4,Boulder,V7,1,14,39.6504,-79.82319
Morphosaurus Rex,Main Area > Rocky Ridge Trail > Dolly Sods Region > Eastern WV > West Virginia,https://www.mountainproject.com/route/119246248/morphosaurus-rex,4,Boulder,V6,1,10,39.06885,-79.36525
Half Moon Tilt,Man On The Moon Boulder > Cotton Top > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/114121818/half-moon-tilt,4,Boulder,V8+,1,14,38.11546,-81.14229
Benthic Dweller into A Touch of Tango,Ship's Prow > Tomb Raider Area > Upper Rock City > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119776950/benthic-dweller-into-a-touch-of-tango,4,Boulder,V6,1,30,39.63823,-79.81768
Tsunami Right,Tsunami Block > Tsunami Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/118831372/tsunami-right,3.7,Boulder,V9,1,13,39.63259,-79.80673
Disco Superfly,The Diamond and The Cave Area > In-Between Area > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/122395578/disco-superfly,3.5,Boulder,V6,1,12,39.63499,-79.80994
Sandstorm,Roof Rocks > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120795723/sandstorm,3.5,Boulder,V9-10,1,NA,39.65119,-79.81717
Vámanos,Vámanos Boulder > Short Creek Right > Short Creek Bouldering > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/114210924/vamanos,3.2,Boulder,V6,1,NA,38.05496,-81.03566
Outshined,The Grunge Boulder > Furnace Trail Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119899377/outshined,3.7,Boulder,V5,1,NA,39.6504,-79.82319
Herculean Traverse,Demi-God Boulder > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119721667/herculean-traverse,4,Boulder,V8-,1,NA,39.69077,-79.80159
Karate Kid Direct,Karate Kid Boulder > Junction Boulders > Snake Hill Wildlife Management Area > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/118847950/karate-kid-direct,4,Boulder,V6-7,1,10,39.62307,-79.83492
Black Hole Sun,The Grunge Boulder > Furnace Trail Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119899442/black-hole-sun,4,Boulder,V6,1,NA,39.6504,-79.82319
I May Have Peed A Little When I Looked Down,The Diamond and The Cave Area > In-Between Area > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/118705544/i-may-have-peed-a-little-when-i-looked-down,4,Boulder,5.11c/d V4 R,1,30,39.63499,-79.80994
A Light Less Broken,Arete Boulder > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119698193/a-light-less-broken,3.9,Boulder,V7,1,NA,39.69078,-79.8016
Blood in the Water,Shark Tooth > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119977206/blood-in-the-water,4,Boulder,V7,1,NA,39.69066,-79.8022
Red Cloud,Red Cloud Area > Woodshed Boulders > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/121904283/red-cloud,4,Boulder,V6,1,10,39.62883,-79.79188
Pallas,Giant's Slab Boulder > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119722619/pallas,3,Boulder,V6,1,NA,39.69077,-79.80159
Quint’s Revenge,Shark Tooth > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119977042/quints-revenge,3.3,Boulder,V6,1,NA,39.69066,-79.8022
Hip Check,Block Party Area > Greenbrier Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120455753/hip-check,3.5,Boulder,V5,1,NA,39.65729,-79.8186
"Scream, Aim, Fire",Lower Skittles Boulders > Snake Hill Wildlife Management Area > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/120434744/scream-aim-fire,4,Boulder,V8,1,12,39.63357,-79.83734
De-Forestation,Dihedral Boulder > Greenbrier Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120455517/de-forestation,3.8,Boulder,V5,1,NA,39.65724,-79.81918
Tree Five,Step Roof > Deer Skull Boulders > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119705965/tree-five,3.8,Boulder,V5+,1,NA,39.66329,-79.81778
Dead Flowers,Chestnut Tree Boulder > First Area Boulders > Rhododendron Trail Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/122998028/dead-flowers,3.7,Boulder,V4,1,12,39.64162,-79.81945
Functionally Extinct,Chestnut Tree Boulder > First Area Boulders > Rhododendron Trail Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/122998053/functionally-extinct,4,Boulder,V4,1,14,39.64162,-79.81945
Continental Division,Continental Division Boulder > Eldorado > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/123115345/continental-division,3.8,Boulder,V3-4,1,NA,39.65512,-79.80083
Entrechat,Entrechat Boulder > Underlook Trail Boulders > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/122988640/entrechat,4,Boulder,V4,1,NA,39.63693,-79.81666
Sloper Fools,G:Alligator Skin Boulder > Downstream Boulderfield > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/108069529/sloper-fools,4,Boulder,V4,1,30,37.48388,-80.87508
Highpoint Roof,Highpoint Area > Bear Rocks Preserve > Dolly Sods Region > Eastern WV > West Virginia,https://www.mountainproject.com/route/122606420/highpoint-roof,4,"Boulder, Alpine",V4,1,12,39.06776,-79.29873
Bozooka,The Bozooka Boulder > Bozooka Area > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/107966368/bozooka,4,Boulder,V11,1,12,37.4769,-80.8646
The Mystery Problem,B: Mystery Boulder > Downstream Boulderfield > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/108711633/the-mystery-problem,4,Boulder,V7,1,NA,37.48209,-80.87394
G. Mental Mantle,H. EDucator Boulder > Main Area Bouldering > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/107968814/g-mental-mantle,4,Boulder,V6,1,12,37.4782,-80.8675
Forbidden Fruit,J: 45 Deg Wall > J: Highlander Area > Main Area Bouldering > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/107966225/forbidden-fruit,4,Boulder,V6,1,NA,37.478,-80.8667
