route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,bad_tags,feature_tags,other_tags,skill,good_tags,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,trad_ind,sport_ind,tr_ind
127313666,Unknown (They),3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > His & Hers Boulder,https://www.mountainproject.com/route/127313666/unknown-they,3,V3-4,v4,4,1,12,-81.36227,35.17505,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Stand start right hand on prominent sloper to the left of Her's crimp rails and left hand on perfect half moon crimp on the left of the arete. Go straight up and top out.I went to the cool looking pinch but I doubt it's actually needed. Also started from there and that was fun. Again, this boulder has probably already been climbed, but I had fun on it and wanted to share it with climbers.","1 pad, maybe 2 for the top out :/","unknown (they): stand start right hand on prominent sloper to the left of her's crimp rails and left hand on perfect half moon crimp on the left of the arete. go straight up and top out.i went to the cool looking pinch but i doubt it's actually needed. also started from there and that was fun. again, this boulder has probably already been climbed, but i had fun on it and wanted to share it with climbers.",-,"arete, crimp, sloper",-,-,"cool, fun",0,1,1,0,1,0,0,0,0
107794930,His,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > His & Hers Boulder,https://www.mountainproject.com/route/107794930/his,2.4,V4,v4,4,1,10,-81.36227,35.17505,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Match on decent edge and make a move to the obvious horn. Go straight up to crack. Jam if you can.,Pad.  Good landing surface.,his: match on decent edge and make a move to the obvious horn. go straight up to crack. jam if you can.,-,crack,-,jam,-,0,0,0,0,1,0,0,0,0
107837924,Fungus Flakes,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Monster Cereals,https://www.mountainproject.com/route/107837924/fungus-flakes,2.6,V0-,v0,0,1,20,-81.3649,35.1702,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,-0.0026300000000105683,-0.0048499999999975785,"For the grade, its alot of fun and a good warm up.",crash pad,"fungus flakes: for the grade, its alot of fun and a good warm up.",-,flake,-,-,"fun, good, warm up",0,1,1,0,1,0,0,0,0
107837932,Franken Berry Stool,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Monster Cereals,https://www.mountainproject.com/route/107837932/franken-berry-stool,2,V0-,v0,0,1,15,-81.3649,35.1702,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Good warmup, nice left hand for topout. Follow sloping seams to positive left hand at top, watch for all the lichen at the top. Im sure others have done it but Ill make up a name.  Small slab problem",crash pad/rhodobush,"franken berry stool: good warmup, nice left hand for topout. follow sloping seams to positive left hand at top, watch for all the lichen at the top. im sure others have done it but ill make up a name.  small slab problem",-,slab,-,-,"good, nice, warm up",0,1,0,0,1,0,0,0,0
116146309,Fruity Yummy Mummy,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Monster Cereals,https://www.mountainproject.com/route/116146309/fruity-yummy-mummy,2,V1-2,v2,2,1,10,-81.3649,35.1702,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Start on a shallow 2 finger pocket, make a big move up and continue straight up avoiding an exit left.",pad,"fruity yummy mummy: start on a shallow 2 finger pocket, make a big move up and continue straight up avoiding an exit left.",-,pocket,-,-,-,0,0,0,0,1,0,0,0,0
125735629,Boo Berry,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Monster Cereals,https://www.mountainproject.com/route/125735629/boo-berry,3,V0,v0,0,1,NA,-81.3649,35.1702,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Start on edge to the right of the center crack. Progress up through more edges.,pads,boo berry: start on edge to the right of the center crack. progress up through more edges.,-,crack,-,-,-,0,0,0,0,1,0,0,0,0
125735578,Count Chocula,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Monster Cereals,https://www.mountainproject.com/route/125735578/count-chocula,2,V1,v1,1,1,NA,-81.3649,35.1702,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"From starting sidepull jugs, gain lip. Progress up and left for dirty topout.",pad,"count chocula: from starting sidepull jugs, gain lip. progress up and left for dirty topout.",dirty,jug,-,-,-,1,0,0,0,1,0,0,0,0
201315934,Captain Crunch,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Monster Cereals,https://www.mountainproject.com/route/201315934/captain-crunch,3,V2,v2,2,1,15,-81.3649,35.1702,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Sit start in the left-facing corner. Traverse left, uphill to about the end of the boulder, then top out. Mostly a lowball. Elegant. Surprisingly, the cause of multiple hospital visits. Please let me know original FA.",Pads,"captain crunch: sit start in the left-facing corner. traverse left, uphill to about the end of the boulder, then top out. mostly a lowball. elegant. surprisingly, the cause of multiple hospital visits. please let me know original fa.",-,traverse,-,-,-,0,0,0,0,1,0,0,0,0
107778350,Icky Thump,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > White Stripes Boulder,https://www.mountainproject.com/route/107778350/icky-thump,2.5,V1,v1,1,1,12,-81.36243,35.17478,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0.0024700000000024147,0.004579999999997142,SDS matched on jug to the left of the dihedral. Work up and right through dihedral to top out. Very thoughtful for the grade. Awkward and fun.,Pad - flat surface,icky thump: sds matched on jug to the left of the dihedral. work up and right through dihedral to top out. very thoughtful for the grade. awkward and fun.,-,"dihedral, jug",-,-,fun,0,1,1,0,1,0,0,0,0
107778321,White Stripes,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > White Stripes Boulder,https://www.mountainproject.com/route/107778321/white-stripes,2,V3,v3,3,1,12,-81.36243,35.17478,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Find the sloper on the blunt arete and move up using your craftiness. Clean topout.,pad- flat surface,white stripes: find the sloper on the blunt arete and move up using your craftiness. clean topout.,-,"arete, sloper",-,-,-,0,0,0,0,1,0,0,0,0
