route_id,route,location,url,avg_stars,route_type,rating,pitches,length,y,x
116159694,Weed Patch Crack,Weed Patch Boulders > Weed Patch Mountain Trail Boulders > Eagle Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/116159694/weed-patch-crack,4,Boulder,V2,1,15,35.47678,-82.23175
121003243,Poison Ivy Sit Start,The Nettles are Stinging My Legs Boulder > Wolf Branch/Rich Knob > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/121003243/poison-ivy-sit-start,4,Boulder,V1-2,1,12,35.6695,-82.44686
107734149,Dark Corner aka Moonshine Arete,Dark Corner Boulder > Second/Many Boulders > Stony Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107734149/dark-corner-aka-moonshine-arete,4,Boulder,V3-4,1,NA,35.4353,-82.7291
107686613,Unclimbed Arete,Unclimbed Highball Boulder > Unclimbed Boulders > Stony Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107686613/unclimbed-arete,4,Boulder,V3,1,NA,35.43618,-82.72854
106924018,Lisa,Bart Simpson Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106924018/lisa,2.3,Boulder,V1,1,10,35.45044,-82.21996
114273308,Spence Ridge Fin,Wonderland > Spence Ridge Access > Linville Gorge Bouldering > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/114273308/spence-ridge-fin,3.8,Boulder,V3-4,1,20,35.89938,-81.89993
114191197,Immaculate Face,Devil Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/114191197/immaculate-face,2.9,Boulder,V2,1,10,35.44977,-82.21876
112825188,Bobba Threat,Zschiesche's Corridor Left Side > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/112825188/bobba-threat,3.4,Boulder,V2,1,15,36.397,-80.28752
107704026,Exponential,Y-Axis Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107704026/exponential,2.4,Boulder,V1,1,15,35.17508,-81.36241
107754965,Unicron,Decepticon Boulder > Gus’s Old School Jams > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107754965/unicron,2.4,Boulder,V3,1,10,35.17608,-81.35995
106652745,Poison Arete,Gettysburg Boulder > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106652745/poison-arete,3.2,Boulder,V1,1,NA,35.44897,-82.2143
111418581,Iris,Trailside Boulder > Trailside Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/111418581/iris,2.6,Boulder,V1,1,25,35.44919,-82.21852
107704016,Hypotenuse,Y-Axis Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107704016/hypotenuse,2.8,Boulder,V3,1,15,35.17508,-81.36241
114121817,45 wedge,Backyard Boulder > Pride Lands > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/114121817/45-wedge,3.1,Boulder,V2-3,1,5,35.17666,-81.35884
107726889,Rattler,Snake Jam Boulder > Gus’s Old School Jams > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107726889/rattler,2.4,Boulder,V2,1,15,35.1758,-81.36001
107815144,Third-Degree,Incinerator Boulder > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107815144/third-degree,3.1,Boulder,V3,1,25,35.17529,-81.36123
112039043,Sexual Chocolate,Warmup Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/112039043/sexual-chocolate,2.5,Boulder,V2,1,12,36.40123,-80.28552
113903187,The Diamond,Stigmata Boulder > Two Mile Boulderfield > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/113903187/the-diamond,3.1,Boulder,V2,1,NA,36.38623,-80.29532
118641708,Hostess With The Mostest,French Maid Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/118641708/hostess-with-the-mostest,3.2,Boulder,V0,1,15,35.45007,-82.21986
112413670,Fitness,The Gym > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/112413670/fitness,3,Boulder,V2,1,15,35.44897,-82.2143
121712715,The Greenness,Eco Terrorism Boulder > Trailside Boulderfield > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/121712715/the-greenness,3.1,Boulder,V2,1,NA,36.39868,-80.28656
112410213,Dynomantle,Robotto Boulder > Two Mile Boulderfield > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/112410213/dynomantle,2.9,Boulder,V2,1,NA,36.38609,-80.29572
111418906,The Gathering,The Cluster > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/111418906/the-gathering,2.6,Boulder,V3-,1,20,35.4501,-82.2195
107789250,Back Splinters,Old Folks Home > Gus’s Old School Jams > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107789250/back-splinters,2.9,Boulder,V1,1,NA,35.17592,-81.36014
107948796,St. Peter,Gateway Boulders > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107948796/st-peter,2.8,Boulder,V2,1,15,35.44965,-82.21805
