state,crag,region_1,region_2,example_location,x,y,n,n_boulder,n_routes,mean_rating,median_rating
Virginia,Virginia > Southwest Virginia (Appalachia) > 18,Southwest Virginia (Appalachia),High Knob Landform,HKL West,-82.64316826086956,36.91842,23,23,0,2.6956521739130435,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 19,Southwest Virginia (Appalachia),High Knob Landform,HKL West,-82.86416,36.85592,3,3,0,3.3333333333333335,3
Virginia,Virginia > Southwest Virginia (Appalachia) > 20,Southwest Virginia (Appalachia),Jay's Creek,Darkside,-82.41835571428571,36.90201914285714,70,67,3,2.4785714285714286,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 21,Southwest Virginia (Appalachia),McAfee's Knob,Devil's Kitchen,-80.065589375,37.386491875,16,16,0,2.325,2.3
Virginia,Virginia > Southwest Virginia (Appalachia) > 22,Southwest Virginia (Appalachia),Mendota Boulders,Mendota Boulder,-82.29294,36.73038,1,1,0,2,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 23,Southwest Virginia (Appalachia),Metz Run Boulders,Overlooked,-80.08624,37.17487,1,1,0,3,3
Virginia,Virginia > Southwest Virginia (Appalachia) > 24,Southwest Virginia (Appalachia),Potts Mountain,Shawvers Run,-80.19606,37.56183,1,1,0,3,3
Pennsylvania,Pennsylvania > Southwestern Highlands > 00,Southwestern Highlands,56 Boulders,Area 1,-78.75418357142857,40.218515714285715,14,14,0,2.6857142857142855,2.8
Pennsylvania,Pennsylvania > Southwestern Highlands > 01,Southwestern Highlands,Adam Fall's Trail,-,-79.16742714285714,40.136585714285715,7,7,0,2.6,2.7
Pennsylvania,Pennsylvania > Southwestern Highlands > 02,Southwestern Highlands,Breakneck,Cannabis Boulder (AKA the Lower Slab),-79.57450176470589,39.99582941176471,17,12,5,2.682352941176471,2.7
Pennsylvania,Pennsylvania > Southwestern Highlands > 03,Southwestern Highlands,Ghosttown,North Shore,-79.1187,40.47327,1,1,0,4,4
Pennsylvania,Pennsylvania > Southwestern Highlands > 04,Southwestern Highlands,Harrison Hills Park,Caryn's Boulder,-79.69327,40.6455,4,4,0,2.875,3
Pennsylvania,Pennsylvania > Southwestern Highlands > 05,Southwestern Highlands,Jumonville,Forgiveness Boulder,-79.48708466666666,39.91575533333333,15,14,1,2.3466666666666667,2
Pennsylvania,Pennsylvania > Southwestern Highlands > 06,Southwestern Highlands,Pittsburgh,Frank Curto Park,-79.99206782608695,40.46950434782609,23,8,17,2.652173913043478,3
Pennsylvania,Pennsylvania > Southwestern Highlands > 07,Southwestern Highlands,Rager Mountain,Area 1,-78.98636,40.41279,2,2,0,3,3
Pennsylvania,Pennsylvania > Southwestern Highlands > 08,Southwestern Highlands,The Knobs (Rob's Knob) - CLOSED TO CLIMBING,Mungo Jelly Block,-79.63139090909091,39.98086090909091,11,4,7,2.2818181818181817,2
Kansas,Kansas > Space Battleship Tiramisu > 00,Space Battleship Tiramisu,-,-,-94.6776,38.93655,1,1,0,2,2
California,California > Spanish Peaks > 00,Spanish Peaks,The Rough,Around the Edges,-104.83859,37.61871,1,1,0,3,3
South Dakota,South Dakota > Spearfish Canyon > 00,Spearfish Canyon,Big Picture Gully,The Can,-103.90060408163265,44.33216489795918,49,15,34,2.6448979591836737,2.6
New York,New York > Sprain Ridge Park > 00,Sprain Ridge Park,-,-,-73.84971,40.98498,2,2,0,2,2
North Dakota,North Dakota > Square Butte Bouldering > 00,Square Butte Bouldering,-,-,-103.7035,46.86904,1,1,0,3,3
Illinois,Illinois > St. Francisville > 00,St. Francisville,Staircase Rock,-,-87.64215,38.58954,2,2,0,2,2
Kansas,Kansas > St. Philippine Duchesne Park > 00,St. Philippine Duchesne Park,Dark alley,-,-94.94519666666667,38.234135,6,6,0,2.5833333333333335,2.5
Colorado,Colorado > Steamboat Springs > 00,Steamboat Springs,Cougar,Lower Tier,-106.82401999999999,40.779685,2,0,2,2.75,2.75
Colorado,Colorado > Steamboat Springs > 01,Steamboat Springs,Mad Creek,-,-106.88077,40.57123,2,0,2,2.5,2.5
Colorado,Colorado > Steamboat Springs > 02,Steamboat Springs,Muddy Creek,Crag 1,-106.645234,40.334027,10,0,10,2.33,2.4
Colorado,Colorado > Steamboat Springs > 03,Steamboat Springs,Seedhouse Crag,Upper Crag,-106.8503,40.746,1,0,1,2.4,2.4
Colorado,Colorado > Steamboat Springs > 04,Steamboat Springs,Wax Museum,-,-106.78496,40.52357,3,0,3,2.533333333333333,2.5
Tennessee,Tennessee > Stone Fort > 00,Stone Fort,Back Nine,Graham Cracker Boulder,-85.21844966666667,35.24990233333333,60,60,0,2.48,2.3499999999999996
Nebraska,Nebraska > Stone creek falls > 00,Stone creek falls,-,-,-96.21766,40.99003,1,1,0,3,3
Tennessee,Tennessee > Sucka Cave > 00,Sucka Cave,Sucka Left,-,-85.4439,35.18331,1,0,1,2,2
Maryland,Maryland > Sugarloaf Mountain > 00,Sugarloaf Mountain,West View Parking Lot Boulders,Downhill From West View Lot,-77.39786428571429,39.27083,7,7,0,2.5285714285714285,2.3
Rhode Island,Rhode Island > Surfers Egg > 00,Surfers Egg,-,-,-71.26769,41.48815,1,1,0,2.7,2.7
Minnesota,Minnesota > Swede's Forest Boulders > 00,Swede's Forest Boulders,Dead Leaves Boulder.,-,-95.33906666666667,44.674025,12,12,0,2.5,2.25
Wyoming,Wyoming > Sweetwater Rocks > 00,Sweetwater Rocks,Haystack,-,-107.55296,42.514806666666665,3,0,3,2.933333333333333,3
New York,New York > Table Rock > 00,Table Rock,-,-,-75.07973,42.45585,8,8,0,2.4375,2
South Carolina,South Carolina > Table Rock State Park > 00,Table Rock State Park,Pumpkintown,Knobtopia Wall (Main Wall right of Center Buttress),-82.705186,35.048296,5,0,5,2.86,2.8
California,California > Tahquitz & Suicide Rocks > 00,Tahquitz & Suicide Rocks,The Others,The Hinterland,-116.681,33.75919,1,0,1,2,2
New Mexico,New Mexico > Taos Area > 00,Taos Area,Cebolla Mesa,Full Moon,-105.689655,36.63848,2,2,0,3,3
New Mexico,New Mexico > Taos Area > 01,Taos Area,Comales Canyon,Lower Walls,-105.668881,36.402044,10,4,6,2.57,2.55
New Mexico,New Mexico > Taos Area > 02,Taos Area,Mavericks,-,-105.0466,36.5634,2,0,2,2.15,2.15
New Mexico,New Mexico > Taos Area > 03,Taos Area,Miner's Crag,-,-105.6918,36.5995,1,0,1,2.3,2.3
New Mexico,New Mexico > Taos Area > 04,Taos Area,Ojo Sarco,-,-105.81512,36.16567,1,1,0,2,2
New Mexico,New Mexico > Taos Area > 05,Taos Area,Pot Creek Highball,-,-105.59128,36.30561,1,1,0,3,3
New Mexico,New Mexico > Taos Area > 06,Taos Area,Red River Area,Red River (Mallette Park),-105.48425,36.707745,2,0,2,2.6500000000000004,2.6500000000000004
New Mexico,New Mexico > Taos Area > 07,Taos Area,Sleeping Beauty Canyon,-,-105.83423,36.24,1,1,0,2,2
New Mexico,New Mexico > Taos Area > 08,Taos Area,Tres Piedras,Aspen Alley,-105.980655,36.659595714285715,14,8,6,2.4428571428571426,2.4
New Mexico,New Mexico > Taos Area > 09,Taos Area,Utopian Vistas,(L2) Hopper's Hangover Wall,-105.72781,36.365210000000005,5,0,5,2.64,2.4
New York,New York > Tea Town Boulders > 00,Tea Town Boulders,Hidden Valley Boulder,-,-73.82594,41.21449,3,3,0,2.6666666666666665,3
Colorado,Colorado > Telluride/Norwood area > 00,Telluride/Norwood area,Clay Creek Crag,-,-108.23833,38.16663,3,0,3,2.566666666666667,2.7
Colorado,Colorado > Telluride/Norwood area > 01,Telluride/Norwood area,Mill Creek Wall,-,-107.82712083333334,37.8952075,12,0,12,2.45,2.3499999999999996
Alabama,Alabama > Temp HP40 > 00,Temp HP40,-,-,-86.30798,33.92201,3,3,0,2.533333333333333,2.6
Minnesota,Minnesota > Temperance River SP (North Shore) > 00,Temperance River SP (North Shore),Temperance River State Park (North Shore),Carlton Peak,-90.8617,47.5834,2,2,0,2.25,2.25
Wyoming,Wyoming > Ten Sleep Canyon > 00,Ten Sleep Canyon,Circus Wall,-,-107.25321151515152,44.122314242424245,33,5,28,2.512121212121212,2.5
Wyoming,Wyoming > Teton Canyon > 00,Teton Canyon,Grand Wall,-,-110.956925,43.759565,2,1,1,2.95,2.95
New York,New York > Thacher State Park > 00,Thacher State Park,Hailes Cave South,Cave Wall,-74.01878153846154,42.66139692307692,13,0,13,2.6846153846153844,2.8
Kansas,Kansas > The Arboretum > 00,The Arboretum,Bouldering for Dummies,-,-94.68839555555556,38.797797777777774,9,9,0,2.588888888888889,3
New York,New York > The Bear Caves > 00,The Bear Caves,Funkytown Pyramid,-,-78.79517166666668,42.011695,6,6,0,3.05,3
Tennessee,Tennessee > The Boulders on Old Wauhatchie Pike > 00,The Boulders on Old Wauhatchie Pike,Hermanos Cercanos,-,-85.33272642857143,35.01457571428571,14,14,0,2.342857142857143,2.3
Rhode Island,Rhode Island > The Buckeye Boulders > 00,The Buckeye Boulders,The Butt Cave,-,-71.704905,41.3977375,4,4,0,2,2
Kansas,Kansas > The Chossy Brice > 00,The Chossy Brice,-,-,-95.23598,38.97387,1,1,0,3,3
Alabama,Alabama > The Citadel > 00,The Citadel,Earl the Squirrel,-,-85.669,34.4754375,8,8,0,2.5625,2.5
Maryland,Maryland > The Croydon Creek Area > 00,The Croydon Creek Area,The Monkey's Cliff Boulder,-,-77.12598,39.08841,1,1,0,2.5,2.5
Rhode Island,Rhode Island > The De Coppet Estate > 00,The De Coppet Estate,Old Mountain Rd.,Bean Boulder,-71.643,41.530902000000005,5,5,0,2.2,2
New York,New York > The Gunks > 00,The Gunks,Near Trapps Bouldering,Area 2 (Cream Cheese),-74.18923451612903,41.73951419354839,31,31,0,2.6032258064516127,2.5
Maryland,Maryland > The Gunpowder Falls Bouldering Area > 00,The Gunpowder Falls Bouldering Area,Angler's Bluffs,The Stage,-76.69085095238096,39.61908285714286,21,21,0,2.7095238095238097,2.8
Minnesota,Minnesota > The Hastings Pit > 00,The Hastings Pit,-,-,-92.84437,44.72468,2,2,0,2.5,2.5
Maryland,Maryland > The Johns Hopkins University > 00,The Johns Hopkins University,Remington bridge (Hampden's or northwest side),-,-76.62595666666667,39.32676333333333,3,3,0,2.6666666666666665,3
Kansas,Kansas > The Lost City of Critzer > 00,The Lost City of Critzer,Placer Ridge,Footloose,-94.95759363636364,38.14359,11,11,0,2.727272727272727,2
South Dakota,South Dakota > The Needles Of Rushmore > 00,The Needles Of Rushmore,Horsethief Lake Area,Horsethief Lake Bouldering,-103.45845647058823,43.88084051470588,136,84,52,2.633088235294118,2.5
West Virginia,West Virginia > The New River Gorge Region > 00,The New River Gorge Region,Meadow River Gorge,Meadow Top Boulders,-80.92828466666667,38.15020066666666,15,10,5,2.7066666666666666,2.5
West Virginia,West Virginia > The New River Gorge Region > 01,The New River Gorge Region,Needleseye Boulder Park,Central Area Boulders,-81.09646814285715,38.07175,70,56,14,2.592857142857143,2.5
West Virginia,West Virginia > The New River Gorge Region > 02,The New River Gorge Region,Piney Creek Watershed,-,-81.14446,37.79566,2,0,2,2.6,2.6
West Virginia,West Virginia > The New River Gorge Region > 03,The New River Gorge Region,Summersville (Gauley River) Area,Carnifex Ferry,-80.85290380952381,38.235197142857146,21,0,21,2.5428571428571427,2.5
Pennsylvania,Pennsylvania > The Northwest > 00,The Northwest,Beartown Rocks,New Kids on the Rock,-79.0590875,41.30330125,8,8,0,2.625,2.7
Pennsylvania,Pennsylvania > The Northwest > 01,The Northwest,Crumble Chrome,-,-79.77112,42.23699,1,0,1,4,4
Pennsylvania,Pennsylvania > The Northwest > 02,The Northwest,Deer Rock,-,-79.57299499999999,41.39102,2,2,0,2.5,2.5
Pennsylvania,Pennsylvania > The Northwest > 03,The Northwest,Ewing,Ewing,-80.21243666666666,40.94871333333333,3,3,0,2,2
Pennsylvania,Pennsylvania > The Northwest > 04,The Northwest,Kinzua Creek,Billboard Boulder,-78.71515,41.76873,1,1,0,3,3
Pennsylvania,Pennsylvania > The Northwest > 05,The Northwest,McConnells Mill State Park,North Country Trail Area,-80.17136333333333,40.955105,6,6,0,2.2,2
Pennsylvania,Pennsylvania > The Northwest > 06,The Northwest,Rim Rock Bouldering,Stitch Boulder,-78.9458,41.84406,1,1,0,2,2
Minnesota,Minnesota > The Road Side Boulder > 00,The Road Side Boulder,-,-,-92.37093,47.79406,1,1,0,2,2
Tennessee,Tennessee > The Sinks > 00,The Sinks,-,-,-83.66231,35.66905,1,1,0,2.5,2.5
California,California > The Wet Mountains > 00,The Wet Mountains,Bootlegger's Boulders,-,-105.45141,38.46986,4,4,0,2.325,2.25
Colorado,Colorado > The Wet Mountains > 00,The Wet Mountains,Hardscrabble Pass,Titanic,-105.24920555555556,38.29367111111111,9,0,9,2.7111111111111112,2.8
New York,New York > The Witches' Circle > 00,The Witches' Circle,-,-,-75.07421,42.47073,4,4,0,2.625,2.75
New York,New York > Theresa Riverside Boulders > 00,Theresa Riverside Boulders,-,-,-75.79169,44.21602,2,2,0,2.5,2.5
New York,New York > Thunder Rocks > 00,Thunder Rocks,Morla Boulder,-,-78.699645,42.041309999999996,2,2,0,2,2
Mississippi,Mississippi > Tishomingo > 00,Tishomingo,Boulder Garden,-,-88.179682,34.600120000000004,10,10,0,2.55,2.75
Minnesota,Minnesota > Tombolo Rock > 00,Tombolo Rock,-,-,-90.09711,47.8001,1,1,0,2,2
