state_name,county_name,county_fips,sqmi_land,sqmi_water,x,y
Florida,St. Johns,12109,600.640660088314,220.89415924106203,-81.43586888198496,29.900791297927185
Washington,San Juan,53055,173.914206495024,446.90334874317,-122.96743582081261,48.601753874528164
Wisconsin,Brown,55009,530.091552452964,85.641574968704,-88.00408569714912,44.4525152286384
Indiana,Cass,18017,412.14396175069805,2.703499331468,-86.34819011310665,40.76128148626905
Mississippi,Sunflower,28133,697.7585193211221,9.168886202231999,-90.58895795038927,33.60150730411779
Missouri,Callaway,29027,834.566714729112,12.81429294576,-91.92253577028949,38.83793889489047
Pennsylvania,Lehigh,42077,345.34049950181003,2.877940987272,-75.59543588607599,40.61322341129376
Tennessee,Dickson,47043,489.899148542082,1.420775050784,-87.35891561900753,36.14667278178712
Oklahoma,Hughes,40063,804.47256731448,10.217028421286,-96.24894502893449,35.04920221093171
Idaho,Twin Falls,16083,1921.7130906422,6.973303665662,-114.66826457135069,42.35398180597233
Rhode Island,Newport,44005,102.430458659458,211.198484736478,-71.26582031147842,41.56413260483062
Kansas,Washington,20201,894.758308413864,3.914870804246,-97.08750253979898,39.784177633094835
North Dakota,Dunn,38025,2008.490801247962,73.56352988809199,-102.61599002406795,47.35377285078695
Tennessee,Campbell,47013,480.189384403314,17.924842106994,-84.15280496652649,36.4082110736972
Indiana,Tippecanoe,18157,498.89740584576,4.345750597594001,-86.89414445559014,40.3887220429458
Tennessee,Clay,47027,236.529245058768,22.814491117070002,-85.53929382153105,36.551579334212995
Kentucky,Leslie,21131,400.87793473612203,3.523559902164,-83.37999222462015,37.092405395650545
Kentucky,Letcher,21133,337.93346699614204,1.099578341392,-82.85345616054586,37.12317146014717
Kentucky,Logan,21141,552.215739526274,4.814851400126,-86.87887439059763,36.8597011255042
Kansas,Wabaunsee,20197,794.335700232128,5.3456725378679995,-96.20219782143,38.95605795251057
California,Monterey,06053,3281.7163032310937,489.5027603987,-121.24057375463974,36.219681299147446
Colorado,Delta,08029,1142.124846262674,6.481409717662,-107.86314802704244,38.8624586065756
Georgia,Coweta,13077,441.070365288042,4.896057917174001,-84.75896604369572,33.35329177333452
Indiana,Elkhart,18039,463.16032905227604,4.809981881702,-85.85871036852969,41.597374913843666
Indiana,LaGrange,18087,379.63064862554,7.071701760362,-85.42675734004295,41.64244320643121
Idaho,Ada,16001,1052.014199331474,8.555649662079999,-116.23845033875152,43.45084637695796
North Carolina,Rutherford,37161,565.4368303114379,1.8122778455600002,-81.92203387169002,35.402793295681825
Georgia,Whitfield,13313,290.444713281626,0.6096670271619999,-84.96102120833604,34.80971904225504
West Virginia,Berkeley,54003,321.14710648195796,0.409638005716,-78.0236564287362,39.467049346744965
Georgia,Echols,13101,420.406958452042,0.312583159874,-82.8954062737019,30.710939495688674
Vermont,Caledonia,50005,649.212815628728,8.629935300778,-72.10155793310386,44.468120651683364
Wisconsin,Columbia,55021,765.599421813828,30.385067935694,-89.33584648907689,43.46497453887364
Wisconsin,Door,55029,481.932841497884,1888.301788435278,-87.30138215945274,44.95808850975445
Texas,Williamson,48491,1115.836795066338,16.046203752388,-97.59783435406874,30.64726996375844
Mississippi,Issaquena,28055,412.98020385621396,28.442121976376,-90.97373757339402,32.725080240401766
Wyoming,Carbon,56007,7897.799467876138,66.172524476444,-106.93427009203737,41.69215014638484
Colorado,Prowers,08099,1638.407328436786,5.914087655146,-102.39260525907677,37.95552798883173
Indiana,Clark,18019,372.490937700592,4.121027650534,-85.70411465984819,38.48000542568966
Nebraska,Keya Paha,31103,773.075804030226,0.846539059754,-99.71336417511237,42.88019082532499
New York,Allegany,36003,1029.434838154772,5.015406292496,-78.02750350989864,42.25727824754979
Ohio,Trumbull,39155,617.578588417516,18.458942022920002,-80.76110166102801,41.31720552487799
Alabama,St. Clair,01115,631.570094778216,21.788431229702,-86.31307439094418,33.71769179555298
Kentucky,McCracken,21145,248.785424860814,19.151763837822003,-88.70432022901875,37.05353237476119
Utah,Weber,49057,611.04250395394,48.886305116102,-111.91500552142683,41.271403638135276
Kentucky,Marshall,21157,302.124816544408,38.045587215218,-88.32799640657271,36.88008262677086
Kentucky,Martin,21159,229.62159572159402,0.98435160492,-82.51244673275292,37.79988170115557
North Carolina,Wake,37183,834.611238467344,22.400835333942,-78.65091385415458,35.78799842939752
North Carolina,Wilkes,37193,753.677395145988,2.646358938182,-81.16152914463136,36.20795425076857
South Dakota,Day,46037,1028.4897898029421,62.602387545612,-97.60735055182748,45.3673852673788
North Carolina,Hoke,37093,390.152836623546,1.524836103518,-79.23675354672602,35.0188640332733
Kansas,Labette,20099,645.39293325242,7.724434218502,-95.29850196060704,37.191115585460885
Georgia,Hancock,13141,471.066609204636,6.748916241240001,-82.99772023238998,33.272133491054824
Colorado,Hinsdale,08053,1117.230334868144,5.916891527870001,-107.30049955271198,37.82210350173688
Indiana,Newton,18111,401.75450828435396,1.679352965612,-87.39636345137401,40.95591434705512
Indiana,Steuben,18151,308.780092625894,13.68611126176,-85.00101560274506,41.64432619518472
Iowa,Delaware,19055,577.683264512902,1.22987965825,-91.36644006962473,42.47106584657671
Ohio,Hocking,39073,421.349182467742,2.2996134733480003,-82.477350187047,39.49672299312948
Texas,Yoakum,48501,799.714724646858,0.013254495558,-102.82764566824265,33.173242883896776
Ohio,Coshocton,39031,563.910306556078,3.524033263216,-81.91719435844048,40.30109785894569
Idaho,Bannock,16005,1112.489754820942,35.550762115078,-112.222609129006,42.66961168785396
Puerto Rico,Patillas,72109,46.604232642716,28.596934206500002,-66.012833095838,18.03034541504418
Puerto Rico,Trujillo Alto,72139,20.758156652902,0.6236829158639999,-65.99852658920034,18.33530434861169
Puerto Rico,Villalba,72149,35.636661315834,1.39870854928,-66.4710125478728,18.127002597924978
Florida,Sarasota,12115,556.006043014464,419.545515855088,-82.33180501822268,27.185440686052882
North Carolina,Columbus,37047,938.1206595519039,16.877172476788,-78.65810724570132,34.268159472080725
Oregon,Multnomah,41051,431.019125204536,33.989236282908,-122.41592289103149,45.54639775777951
Tennessee,Putnam,47141,401.106152292384,1.458580614216,-85.50704645654099,36.139980034053856
Tennessee,Johnson,47091,298.439933187992,4.250110043378,-81.84895094664301,36.45519737440702
Georgia,Pickens,13227,232.059287378284,0.6527706822379999,-84.46225040299109,34.46227575731126
Georgia,Rockdale,13247,129.81853453109798,2.277874772442,-84.02110469255152,33.652830929875186
Iowa,Cherokee,19035,576.906326902382,0.16338292232,-95.62390573432688,42.73542250112557
Kentucky,Hopkins,21107,542.186868262138,12.228348025478,-87.54678086443629,37.309350772579485
Minnesota,Blue Earth,27013,747.835872659028,17.745476878486,-94.06713061330024,44.03418727785971
Oklahoma,Wagoner,40145,561.91591443577,28.886337732804,-95.51827145131777,35.959223323868095
Texas,Frio,48163,1133.500299401408,0.846961455342,-99.10804390572505,28.867686321618837
Texas,Parker,48367,903.7196165283459,6.374580313588,-97.80502840723047,32.77766228510885
Puerto Rico,Aguadilla,72005,36.54176471305,39.03603382631,-67.11750278579942,18.459371825383098
Wisconsin,Douglas,55031,1304.270876926002,175.403911563664,-91.91603751082546,46.43203011030302
Kentucky,Pike,21195,786.221677512566,2.344804395836,-82.39499558503027,37.47085209602028
Kentucky,Todd,21219,374.512314103578,2.5436083156360003,-87.17885959979024,36.83798884293528
Tennessee,McNairy,47109,562.8414843278019,0.770272331694,-88.56481524806121,35.17460431400327
Illinois,Shelby,17173,758.5087361903301,9.554507505241999,-88.80614241422396,39.391135992615354
Michigan,Allegan,26005,825.2527507003799,1008.036235967676,-85.89093496109608,42.591489596235334
