route,location,url,avg_stars,route_type,rating,pitches,length,y,x
The Sea Section (aka Birthed by Sea Section),Upper Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/125884998/the-sea-section-aka-birthed-by-sea-section,2,Trad,5.9 PG13,1,70,36.09856,-81.80133
Amp Annihilator,Linville Link Ups > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/125898509/amp-annihilator,4,Trad,5.9,35,3100,35.9046,-81.89506
19'-hexanoyloxyfucoxanthin,Tier 2 > Whitewater Buttress > Nolichucky Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/125962242/19-hexanoyloxyfucoxanthin,3,Trad,5.9,2,110,36.07718,-82.37229
Understated Tailoring,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/126078549/understated-tailoring,2.5,Trad,5.9,2,200,35.83139,-81.90257
Sunshine,Starshine Area > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126736845/sunshine,3,Trad,5.9,3,250,35.08798,-83.13864
Under the Bridge,Underlook > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127244477/under-the-bridge,2,Trad,5.9,2,250,35.16955,-83.02227
Under Estimated,Underlook > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127244810/under-estimated,2,Trad,5.9,1,100,35.16955,-83.02227
Undulate,Underlook > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127245077/undulate,2,Trad,5.9,1,150,35.16955,-83.02227
The Killer Rabbit of Caerbannog,Big Green > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126509432/the-killer-rabbit-of-caerbannog,3,Trad,5.9,1,200,35.1562,-83.0281
Infest The Rats' Nest,Big Green > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127145878/infest-the-rats-nest,2,Trad,5.9,1,80,35.1562,-83.0281
Melodious,John Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200631377/melodious,3,Trad,5.9,2,300,35.27825,-82.79183
Trespassers Will be Violated,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200698671/trespassers-will-be-violated,3,Trad,5.9,1,100,35.16807,-83.0312
If You Have To Ask,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200698740/if-you-have-to-ask,2,Trad,5.9 R,1,140,35.16807,-83.0312
Rufus,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200699019/rufus,3,Trad,5.9,1,140,35.16807,-83.0312
Unknown wide crack,Last Wall > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/200703451/unknown-wide-crack,2,Trad,5.9 PG13,1,80,36.39894,-80.27683
Unknown middle face,Last Wall > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/200703480/unknown-middle-face,3,Trad,5.9,1,70,36.39894,-80.27683
Overlook Mystery Groove,Overlook > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200706228/overlook-mystery-groove,2,Trad,5.9,1,150,35.17048,-83.02412
