120595649,Location,Starts just to the right of Mike's Slab. Look just right of the tree closest to the boulder.,Location`Starts just to the right of Mike's Slab. Look just right of the tree closest to the boulder.
120595649,Protection,2 Pads,Protection`2 Pads
113663169,Description,Start by matching on the bulb/jug with a crimp just to the right. Go out wide right to the pinch. Jug to the top left to the top out.,Description`Start by matching on the bulb/jug with a crimp just to the right. Go out wide right to the pinch. Jug to the top left to the top out.
113663169,Location,Middle of the Mushroom Boulder,Location`Middle of the Mushroom Boulder
113663169,Protection,1 or 2 crashpads,Protection`1 or 2 crashpads
106650472,Description,This problem follows an obvious diagonal seem up to the point of the boulder.  Harder than it looks.,Description`This problem follows an obvious diagonal seem up to the point of the boulder.  Harder than it looks.
106650472,Location,Walk diagonally up the hill from the cereal area passing  The Politician.  This is actually two boulders that are stacked together.  The nice diagonal seem in the middle of the left boulder is an obvious feature to look for.,Location`Walk diagonally up the hill from the cereal area passing  The Politician.  This is actually two boulders that are stacked together.  The nice diagonal seem in the middle of the left boulder is an obvious feature to look for.
106650472,Protection,pads,Protection`pads
118912553,Description,start on the lowest rail (obvious) and work left and up to a fun mantel.,Description`start on the lowest rail (obvious) and work left and up to a fun mantel.
118912553,Location,below “trial and error,Location`below “trial and error
118912553,Protection,Pads,Protection`Pads
118723716,Description,You're gonna wanna start on a couple of decent lips with good feet. You'll move up right (or left) to a pretty similar lip. Then you'll find another one up to the left (or right). Keep doing that!,Description`You're gonna wanna start on a couple of decent lips with good feet. You'll move up right (or left) to a pretty similar lip. Then you'll find another one up to the left (or right). Keep doing that!
118723716,Location,Walk to the bottom of the tallest part of the retaining wall and start climbing!,Location`Walk to the bottom of the tallest part of the retaining wall and start climbing!
118723716,Protection,"Bring some webbing etc. long enough to get the rope over the lip of the wall, so it's not rubbing against it.","Protection`Bring some webbing etc. long enough to get the rope over the lip of the wall, so it's not rubbing against it."
115350360,Description,A striking line up a tall impressive face. Start high on a large block on the left side of the face and make a big move to gain the ramp feature. Follow this lower ramp up and right across the face and top out.,Description`A striking line up a tall impressive face. Start high on a large block on the left side of the face and make a big move to gain the ramp feature. Follow this lower ramp up and right across the face and top out.
115350360,Location,This problem is on the large boulder up hill from the Proper Modulation boulder.,Location`This problem is on the large boulder up hill from the Proper Modulation boulder.
115350360,Protection,"Pads. The problem is tall, but the landing zone is flat.","Protection`Pads. The problem is tall, but the landing zone is flat."
118715674,Description,Lock them knuckles in there.,Description`Lock them knuckles in there.
120619399,Description,"There are two or three ways to start, if you start on the left it adds the mildly interesting v0 move. Use a series of excellent slab hands with easy feet, stay on the right side of the face, make a large reach up and right for the perfect crimp while maintaining balance, make a couple moves to pull up and over the corner.or start on Ireek and traverse into this one","Description`There are two or three ways to start, if you start on the left it adds the mildly interesting v0 move. Use a series of excellent slab hands with easy feet, stay on the right side of the face, make a large reach up and right for the perfect crimp while maintaining balance, make a couple moves to pull up and over the corner.or start on Ireek and traverse into this one"
120619399,Location,"Start in the creek but keep right, avoid the urge to bail left","Location`Start in the creek but keep right, avoid the urge to bail left"
121812497,Description,"Sit start under the boulder with left hand on a flake crimp, right hand on a pinch then work your way up the face to a fairly easy albeit leafy top out.","Description`Sit start under the boulder with left hand on a flake crimp, right hand on a pinch then work your way up the face to a fairly easy albeit leafy top out."
121812497,Location,On the south side of the boulder,Location`On the south side of the boulder
118912604,Description,Direct start to “Rona.”Start on the side pulls/ feet on the quartz knobs and fire up to the mantle on Rona,Description`Direct start to “Rona.”Start on the side pulls/ feet on the quartz knobs and fire up to the mantle on Rona
