route_id,field,value,info
107899525,Location,Under roof.,Location`Under roof.
107899525,Protection,Standard rack. No anchors,Protection`Standard rack. No anchors
106237478,Description,"This route has a tricky start, as the feet are pretty minimal and you may need to jump to reach the first hold.  Follow the thin crack to reach the first overhang.  Finger lock in the only slot in the roof and stem to reach the protruding corner to gain a stance up and left.  Climb up and cross the corner to reach the next overhang with a finger crack in it.  Pull this overhang and follow a dirty face to the finish.  This route is very sustained for 5.10d.  The moves are very unique with good gear.","Description`This route has a tricky start, as the feet are pretty minimal and you may need to jump to reach the first hold.  Follow the thin crack to reach the first overhang.  Finger lock in the only slot in the roof and stem to reach the protruding corner to gain a stance up and left.  Climb up and cross the corner to reach the next overhang with a finger crack in it.  Pull this overhang and follow a dirty face to the finish.  This route is very sustained for 5.10d.  The moves are very unique with good gear."
106237478,Location,"As you follow the trail toward the South Bridge Area from the Main Bridge area, this is one of the first routes you encounter as you reach the cliff.  Locate a small spring that runs out of the rock and over the trail.  Start the climb above the drainage from the spring.","Location`As you follow the trail toward the South Bridge Area from the Main Bridge area, this is one of the first routes you encounter as you reach the cliff.  Locate a small spring that runs out of the rock and over the trail.  Start the climb above the drainage from the spring."
106237478,Protection,"Stoppers and small cams, 1"" or less.  Shuts.  A few Tri Cams may also be nice.   Bolted anchor.","Protection`Stoppers and small cams, 1"" or less.  Shuts.  A few Tri Cams may also be nice.   Bolted anchor."
123234945,Description,"Start under the bulgey roof and trend slightly left immediately, following the crack to a decent stance before pulling right onto the bulge.  A few committing moves and you're home free on easier climbing to the chains.","Description`Start under the bulgey roof and trend slightly left immediately, following the crack to a decent stance before pulling right onto the bulge.  A few committing moves and you're home free on easier climbing to the chains."
123234945,Location,"Just right of the wide crack before entering the large cave/chasm.  When approaching Circus Wall from Orange Oswald, this is the last bolt line before No Pray, No Pay.","Location`Just right of the wide crack before entering the large cave/chasm.  When approaching Circus Wall from Orange Oswald, this is the last bolt line before No Pray, No Pay."
123234945,Protection,4 bolts plus anchors,Protection`4 bolts plus anchors
123386131,Description,"Pull a short boulder on crimps to get established. Use some more crimps with an occasional pocket and foot smear, zig-zagging back and forth around the arete. Pull a thin crux then romp you're way to the top through some lichen. Sustained and hard for the grade.","Description`Pull a short boulder on crimps to get established. Use some more crimps with an occasional pocket and foot smear, zig-zagging back and forth around the arete. Pull a thin crux then romp you're way to the top through some lichen. Sustained and hard for the grade."
123386131,Location,Prominent arete near the end of the crag.,Location`Prominent arete near the end of the crag.
123386131,Protection,"5 bolts, bolt anchors","Protection`5 bolts, bolt anchors"
123458306,Description,"This is the right line of the two lines bellow the big roof. Climb the clean face following the bolts to the anchor beneath the big roof. Currently, the third bolt has no hanger (back it up with medium cam). Very nice line! Hard for its grade.","Description`This is the right line of the two lines bellow the big roof. Climb the clean face following the bolts to the anchor beneath the big roof. Currently, the third bolt has no hanger (back it up with medium cam). Very nice line! Hard for its grade."
123458306,Location,North Whippoorwill. Left of SIN and left of big corner.,Location`North Whippoorwill. Left of SIN and left of big corner.
123458306,Protection,"8 bolts, bolt anchor.","Protection`8 bolts, bolt anchor."
109591180,Description,"Same area as Cave Routes 1 and 2. However, follow crack system on the wall of main cliff and climb through hole in roof without using both walls or stemming.","Description`Same area as Cave Routes 1 and 2. However, follow crack system on the wall of main cliff and climb through hole in roof without using both walls or stemming."
119957277,Description,"Easy 5.8 and 5.9 climbing up to below the last bolt, then the holds get slopey. Clench your butt and find the right holds for the last 10 feet to the anchor.","Description`Easy 5.8 and 5.9 climbing up to below the last bolt, then the holds get slopey. Clench your butt and find the right holds for the last 10 feet to the anchor."
119957277,Location,Second to last route on right of the ledge at the right of second buttress.,Location`Second to last route on right of the ledge at the right of second buttress.
119957277,Protection,"7 bolts, 2 bolt anchor.","Protection`7 bolts, 2 bolt anchor."
117735628,Description,Standard NRG climbing on ledges and pockets with slopey holds from the 3rd to 4th bolt.,Description`Standard NRG climbing on ledges and pockets with slopey holds from the 3rd to 4th bolt.
117735628,Location,See beta photo below.  Climbs through a less than vertical section to a small bulge.,Location`See beta photo below.  Climbs through a less than vertical section to a small bulge.
