route,location,url,avg_stars,route_type,rating,pitches,length,y,x
J Route,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107784697/j-route,2.6,"Trad, Sport",5.9+,1,NA,37.5296,-77.4459
Nut Job,Self Potential Wall > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/108952715/nut-job,2.4,Trad,5.7,1,45,37.90597,-78.93764
Elbows Deep,Upper Falls Wall > White Oak Canyon > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/108842606/elbows-deep,3,"Trad, TR",5.9,1,80,38.62321,-78.31358
A Womb With A View,Eagle's Gift > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/118585704/a-womb-with-a-view,3.3,Trad,5.8 PG13,1,80,38.5515,-78.3106
SLMR,Squirrels Nest > The Buttermilks > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/118714708/slmr,2.7,Boulder,5.9 V0 R,1,25,37.52464,-77.47524
Dark Side Direct,East Walls > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/109419878/dark-side-direct,2.8,"Trad, TR",5.9+ PG13,1,40,37.90755,-78.93769
Unknown Route  2,Right Sector > Crescent Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107917238/unknown-route-2,3,TR,5.9,1,40,39.13925,-77.83794
The Dish,Main Wall > Crescent Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/105856271/the-dish,2,"Trad, TR",5.8,1,45,39.13925,-77.83794
Hell,East Walls > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/109773983/hell,2.8,Trad,5.9+ PG13,1,70,37.90755,-78.93769
The Shield,Bent Tree Area > Little Stony Man Mountain > Central District > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/108745745/the-shield,2.7,"Trad, TR",5.8,1,100,38.62113,-78.37413
Bits and Pieces,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107787263/bits-and-pieces,2.3,Sport,5.8,1,NA,37.5296,-77.4459
Anita’s Hot Burritas,Dihedrals > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/120948243/anitas-hot-burritas,2.7,TR,5.7+,1,45,38.99207,-77.24862
Cobble Crack,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118126770/cobble-crack,2.5,Trad,5.8,1,45,37.28329,-82.30227
Cool Fool,(1) Lower Hidden > Hidden Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107094957/cool-fool,2.7,"Trad, TR",5.8,1,NA,38.45563,-79.11399
