"ID","h","s","v","hex3","area","radius","X","Y"
1133,213.8951824068,0.854078000155132,0.259530815045521,"#0A3B7B",3.31724502627872,0.5797475247849,73.0629289851694,-40.9205037584096
1345,212.461885622209,0.845329627864436,0.252566834604212,"#0A3C77",7.72643093591869,0.884788747531329,137.475047446807,-8.54561548636854
1118,212.306784667931,0.852843420886095,0.253556895627974,"#0A3C78",1.47183055389563,0.38617044661867,73.410373309768,-56.9184237405768
1421,212.928942807626,0.842285598619656,0.256662057985587,"#0A3C79",4.67133354508299,0.687971688353501,172.745123353643,-2.16632344531817
1155,211.901307050003,0.842792877172023,0.251499270385516,"#0A3D76",5.6583815842384,0.757174959712114,59.1425314875574,-64.465348888229
515,213.328088828402,0.848995525884517,0.264611736963056,"#0A3D7D",22.4001962647614,1.50652394583236,36.1296499226049,-34.5449038194193
445,213.67098830922,0.858302347272258,0.267426264710182,"#0A3D7F",34.7596438454643,1.87666945875094,128.020146552171,-39.208508984327
128,212.762576049059,0.849603159088243,0.263488741256737,"#0A3E7C",8.74869196205852,0.941502960652794,47.8218602569758,-37.569885888826
211,212.485662745688,0.851412257072026,0.262228711671834,"#0A3E7C",3.29524295635866,0.577821699771942,162.850490454777,-41.2026387561114
1422,210.653341634788,0.847679482674865,0.251153901019097,"#0A3F76",4.67133354508337,0.687971688353529,126.745123353643,-122.166323445318
990,212.67110957172,0.848666367761919,0.268067203312301,"#0A3F7E",2.18304411163136,0.470306935239026,119.695602688249,-80.2140183345885
1065,212.906394781394,0.851025741982884,0.270736631128067,"#0A3F80",11.8326578160999,1.09494241655075,159.339324182997,-117.725871861474
1329,210.056857714421,0.849611300387789,0.249910977462881,"#0A4076",9.01740308450995,0.955852474968086,115.437452796666,-16.2778469532554
527,211.179191666213,0.852193224326004,0.260602414354036,"#0A407B",10.5794234323381,1.03533555160536,128.516841206821,-135.673679869276
188,212.268961054691,0.846781356857528,0.267282500542304,"#0A407E",3.00618866730498,0.551897267635492,124.543143574895,-122.546175372216
142,212.088509294563,0.85841816598512,0.267007858699035,"#0A407F",5.45167767861026,0.743216277562126,77.9560488443765,-95.182245139007
