ID,h,l,s,median_hex,area,radius,X,Y
3060,212.3684210526316,0.4215686274509804,0.7102803738317757,#1F65B8,1287.688037412412,11.422349850740193,205.770516582376,93.09778139279936
3061,212.3684210526316,0.4215686274509804,0.7102803738317757,#1F65B8,1287.688037412412,11.422349850740193,205.770516582376,93.09778139279936
2784,212.6955821445007,0.4235294117647059,0.7083333333333334,#1F65B9,7.428649184592334,0.8675710508347906,136.66055395422143,36.9620882182583
2729,211.97368421052633,0.4196078431372549,0.7102803738317757,#1F66B7,3.5553354983510572,0.6001923032983262,136.11535511066438,27.16552596626098
2568,212.45872033023736,0.42254901960784313,0.7076747491278694,#1F66B8,0.9690369220136774,0.313343211082598,143.11899544391372,50.824194880394266
2728,212.45872033023736,0.42254901960784313,0.7076747491278694,#1F66B8,3.0135567339500864,0.5525731944793923,141.23136263555992,49.46698760123531
2952,212.45872033023736,0.42254901960784313,0.7076658053402239,#1F66B8,30.0614406917241,1.7452394543097582,143.46827401385562,31.417430966517056
234,212.40412528647823,0.4245098039215686,0.7090160436934632,#1F66B9,5.15905710776847,0.7229950018067326,237.45039912904403,141.5414225933038
2938,212.3684210526316,0.4235294117647059,0.7116279069767442,#1F66B9,18.64334211975786,1.3743964095641827,137.14947092551805,31.531121671549688
2675,212.73792443806792,0.4186274509803921,0.704915514592934,#2064B6,1.6273017245594001,0.4060543521199791,271.97342146080825,178.39948996996796
299,212.5233644859813,0.4215686274509804,0.7023255813953488,#2065B7,6.547184289041661,0.8144743468582782,190.00000000000003,62.629451247222924
300,212.63869611769837,0.4215686274509804,0.7023255813953488,#2065B7,3.5072586598834157,0.5961204565850992,190.00000000000017,66.55488373874245
282,212.58278145695365,0.4235294117647059,0.7037037037037037,#2065B8,6.133964176618205,0.788353036903299,241.83511516232005,129.21135882265168
2807,212.83684527393137,0.4245098039215686,0.7018518518518518,#2065B8,4.305290871598144,0.6604673852923216,136.84353477065287,60.586680925204334
2593,212.27450980392155,0.42254901960784313,0.7030018519316078,#2066B7,1.396162329976434,0.3761127754145776,178.44125710000836,73.80367434644499
2645,212.18543046357615,0.4215686274509804,0.7023255813953488,#2066B7,3.929390445451218,0.6309758243593888,239.53384418165928,137.0790260108812
2721,212.27450980392155,0.42254901960784313,0.7030018519316078,#2066B7,1.7582037887356319,0.42207024173606106,173.06294768951486,69.58236198653732
245,212.28070175438597,0.4235294117647059,0.7037037037037037,#2066B8,6.08675967423191,0.7853137556032158,240.83802367255598,135.2122103906033
379,212.33532934131736,0.4235294117647059,0.7037037037037037,#2066B8,8.12646029355181,0.9074043066710281,220.00476875081335,112.99869977777362
2560,212.45872033023736,0.4245098039215686,0.7043864140638334,#2066B8,1.414800824959972,0.3786149682766125,144.43790569537708,40.00496409533968
2629,212.36722503570962,0.4235294117647059,0.703697352909656,#2066B8,2.807117892687611,0.5333108919858037,266.6647215506858,164.18903396851493
2664,212.3684210526316,0.4235294117647059,0.7037037037037037,#2066B8,0.8199925066936737,0.2882405442613003,274.0526318929656,166.99678287844634
2687,212.3684210526316,0.4235294117647059,0.7037037037037037,#2066B8,2.34211041749965,0.48714002065331735,217.51738538158006,111.58058825206565
2795,212.3684210526316,0.4235294117647059,0.7037037037037037,#2066B8,4.022036668129508,0.6383709860792283,180.5930057527292,75.32328491672573
