subcounty_fips,county_fips,state_name,county_name,subcounty_name,n_lgbt,pct_lgbt,x,y,pct_dem,pct_temp_ideal,avg_daytime_temp,n_gym_10mi,n_boulder_60mi,n_route_200mi,gym_x,gym_y,gym_name,pct_temp_above_60,pct_not_poverty,pct_price_affordable,pct_cost_affordable
2403391072,24033,Maryland,Prince George's County,"12, Oxon Hill",1020,0.0144347112350169,-76.98974214447968,38.792528100511575,0.8635342302820984,0.6136986301369863,67.90931452054795,4,224,206,-77.0506138,38.8616775,Movement Crystal City,0.6465753424657534,0.8239106746104751,0.8569848396122064,0.6319044755605189
2403391164,24033,Maryland,Prince George's County,"13, Kent",610,0.0077307175626695,-76.84095072521083,38.91099785821745,0.8635342302820984,0.6136986301369863,67.90931452054795,2,261,201,-76.9458185,38.9941981,ERC Climbing Wall,0.6465753424657534,0.8718982079943224,0.7413368874307976,0.5721741266040401
2403391256,24033,Maryland,Prince George's County,"14, Bowie",188,0.00441045371369586,-76.7890877197769,39.00445235438067,0.8635342302820984,0.6136986301369863,67.90931452054795,2,270,205,-76.8683126,39.0720629,ClimbZone Laurel,0.6465753424657534,0.9289870032374608,0.6044975756562447,0.35399979194840325
2403391440,24033,Maryland,Prince George's County,"16, Hyattsville",464,0.02767175572519084,-76.94815465633833,38.9551994250688,0.8635342302820984,0.6136986301369863,67.90931452054795,4,279,205,-76.9458185,38.9941981,ERC Climbing Wall,0.6465753424657534,0.7999165076335878,0.60408042578356,0.4076005961251863
2403391532,24033,Maryland,Prince George's County,"17, Chillum",734,0.0083238829666591,-76.9726660866993,38.971589231157026,0.8635342302820984,0.6136986301369863,67.90931452054795,4,279,205,-76.9458185,38.9941981,ERC Climbing Wall,0.6465753424657534,0.7570424132456339,0.790545531286272,0.5689806678383128
2403391624,24033,Maryland,Prince George's County,"18, Seat Pleasant",124,0.00353296484130148,-76.89898718344112,38.8875816728563,0.8635342302820984,0.6136986301369863,67.90931452054795,3,265,201,-77.0039972,38.9115985,Bouldering Project - Eckington,0.6465753424657534,0.7833494786027694,0.9684779014658877,0.8184744576627012
2403391716,24033,Maryland,Prince George's County,"19, Riverdale",140,0.00637580836141724,-76.92329910602453,38.96500771398127,0.8635342302820984,0.6136986301369863,67.90931452054795,4,277,205,-76.9458185,38.9941981,ERC Climbing Wall,0.6465753424657534,0.7476546133527644,0.7020499859590003,0.5479898587468308
2403391808,24033,Maryland,Prince George's County,"20, Lanham",154,0.00333586050037906,-76.85463918856155,38.95831183434374,0.8635342302820984,0.6136986301369863,67.90931452054795,3,273,205,-76.9458185,38.9941981,ERC Climbing Wall,0.6465753424657534,0.8483266543918553,0.8317264573991031,0.5685389761941808
2403391900,24033,Maryland,Prince George's County,"21, Berwyn",742,0.00955299206921412,-76.91021484036445,39.000115440194506,0.8635342302820984,0.6136986301369863,67.90931452054795,3,277,205,-76.9458185,38.9941981,ERC Climbing Wall,0.6465753424657534,0.7742558450921825,0.8041294642857143,0.6200509377170642
2451090000,24510,Maryland,Baltimore city,Baltimore,6288,0.01089410301233728,-76.61443004306366,39.30506539935941,0.851699391484272,0.5808219178082191,67.06641643835617,3,306,204,-76.6024127,39.3286506,The Weinberg Y in Waverly,0.6246575342465754,0.7154452670077427,0.9066570370432577,0.7961163856102385
2501168400,25011,Massachusetts,Franklin County,Sunderland,80,0.0218998083766767,-72.55460142575491,42.465127466696984,0.67306320445141965,0.46301369863013697,58.61593917808219,1,322,292,-72.5844906,42.3420669,Central Rock Gym,0.46849315068493147,0.7298111141527512,0.8263888888888888,0.6446700507614214
