area,route_id,route,location,url,avg_stars,grade,grade_simple,grade_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,bad_tags,feature_tags,other_tags,skill,good_tags,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,trad_ind,sport_ind,tr_ind
WV,120377796,B-Team,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/120377796/b-team,2.2,V2,v2,2,1,8,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,Start on the lowermost sloper jug and horizontal crack two feet off the ground with feet on the lowermost face of the boulder and a foot chip on the right face of the boulder. Proceed through though-provoking/non-obvious moves on decent holds to top out the boulder. A great route to work while your crusher friends project the Frenchman and Way of the Gun.,-,b-team: start on the lowermost sloper jug and horizontal crack two feet off the ground with feet on the lowermost face of the boulder and a foot chip on the right face of the boulder. proceed through though-provoking/non-obvious moves on decent holds to top out the boulder. a great route to work while your crusher friends project the frenchman and way of the gun.,-,"crack, face, jug, sloper",-,-,great,0,1,1,0,1,0,0,0,0
WV,121603093,Tan and High,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/121603093/tan-and-high,3.5,V0- PG13,v0,0,1,25,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,"Possibly the best beginner slab at The New. Climb the center of the slab towards the obvious iron circle. Not to be confused with the much more blank climb ""Euphoria"" that sits directly to its left.",Pads?,"tan and high: possibly the best beginner slab at the new. climb the center of the slab towards the obvious iron circle. not to be confused with the much more blank climb ""euphoria"" that sits directly to its left.",-,slab,-,-,best,0,1,0,0,1,0,0,0,0
WV,121601275,Under the Bridge,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/121601275/under-the-bridge,2.9,V-easy PG13,v0,0,1,25,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,Climb the slab on the backside of Octagon Control boulder to the left of the blunt arete. Pretty much a short 5.7 slab.,Pad?,under the bridge: climb the slab on the backside of octagon control boulder to the left of the blunt arete. pretty much a short 5.7 slab.,-,"arete, slab",-,-,-,0,0,0,0,1,0,0,0,0
WV,125501118,Stairway to Easy,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/125501118/stairway-to-easy,2.3,V-easy,v0,0,1,7,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,"Sit start using incut holds in the seam of the mini-dihedral. You may top out early on the right side, or continue up the sloping ramp all the way to the steep forested hill. Choose your own adventure!",Pad,"stairway to easy: sit start using incut holds in the seam of the mini-dihedral. you may top out early on the right side, or continue up the sloping ramp all the way to the steep forested hill. choose your own adventure!",-,dihedral,-,-,easy,0,1,0,0,1,0,0,0,0
WV,116218257,Octagon Control,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/116218257/octagon-control,3.6,V10,v10,10,1,10,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,"This is a super classic 2-3 move problem, depending on how you do it. Begin matched at an excellent pocket, then get set up on a sloping crimp and shallow pocket for a jump to jug.","Not a highball by any means, but you'll want a couple pads for the uneven landing area.","octagon control: this is a super classic 2-3 move problem, depending on how you do it. begin matched at an excellent pocket, then get set up on a sloping crimp and shallow pocket for a jump to jug.",-,"crimp, jug, pocket",-,-,"classic, excellent",0,1,1,0,1,0,0,0,0
WV,116218277,The Frenchman,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/116218277/the-frenchman,3.7,V8,v8,8,1,15,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,"This is as classic as NRG traverses get.  Start far left on underclings and make big, steep moves rightward.  Pull the reachy, shouldery crux moves, into a final heartbreaker sloper arete topout.  Starting at the crux is v7; the final arete is v5.",pads,"the frenchman: this is as classic as nrg traverses get.  start far left on underclings and make big, steep moves rightward.  pull the reachy, shouldery crux moves, into a final heartbreaker sloper arete topout.  starting at the crux is v7; the final arete is v5.",-,"arete, crux, sloper, traverse",-,-,classic,0,1,0,0,1,0,0,0,0
WV,116218267,Way of the Gun,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/116218267/way-of-the-gun,3.4,V4,v4,4,1,15,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,Stand start on a sloping shelf and head up the slight weakness.  There is a sit-start to this that goes at v9.,pads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
WV,121601250,Scream,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/121601250/scream,3.5,V7,v7,7,1,16,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,"Start on crimp around left side of boulder, move out left to another decent crimp using smeary feet, then shoot up to an amazing ledge. Finish straight up or by using gaston out left.",Pads,"scream: start on crimp around left side of boulder, move out left to another decent crimp using smeary feet, then shoot up to an amazing ledge. finish straight up or by using gaston out left.",-,"crimp, ledge",smear,-,-,0,0,0,0,1,0,0,0,0
WV,121600430,Soft Goods,The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/121600430/soft-goods,2.6,V5,v5,5,1,10,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,"Start matched on an obvious flat ledge, climb straight up to top.  Avoid dabbing the slab out left.",-,"soft goods: start matched on an obvious flat ledge, climb straight up to top.  avoid dabbing the slab out left.",-,"ledge, slab",-,-,good,0,1,0,0,1,0,0,0,0
WV,119346086,Way of the Gun (sit-start),The New River Gorge Region > New River Gorge Proper > Fayette Station Boulders,https://www.mountainproject.com/route/119346086/way-of-the-gun-sit-start,2.8,V9,v9,9,1,15,-81.08255,38.068,The New River Gorge Region,New River Gorge Proper,Fayette Station Boulders,NA,0,0,"This sit-start to the v4 ""Way of the Gun"" is repeated much less frequently than ""Octagon Control."" Start with a left hand sidepull and right pocket, find strange feet, and make your way up to the starting sloped jug of the stand-start.",-,"way of the gun (sit-start): this sit-start to the v4 ""way of the gun"" is repeated much less frequently than ""octagon control."" start with a left hand sidepull and right pocket, find strange feet, and make your way up to the starting sloped jug of the stand-start.",-,"jug, pocket, sloper",-,-,-,0,0,0,0,1,0,0,0,0
WV,112300651,Yert Yak Crack,The New River Gorge Region > New River Gorge Proper > Fern Buttress > 2) Monolith Wall,https://www.mountainproject.com/route/112300651/yert-yak-crack,2.5,5.9,5.9,9,1,NA,-81.07019,38.0657,The New River Gorge Region,New River Gorge Proper,Fern Buttress,NA,0,0,Find the over hanging chimney offwidth.  Pulling the first moves is actually the hardest.  Then jam and position yourself out and up the crack.  Pulling on to the face is pretty casual if you can jam.,"Stuff to #4 , #5 can be placed in 1 spot. Apparently this can be taken higher on the cliff to a tree or bolt, but there was big slung boulder to bail after exiting the crack.",yert yak crack: find the over hanging chimney offwidth.  pulling the first moves is actually the hardest.  then jam and position yourself out and up the crack.  pulling on to the face is pretty casual if you can jam.,-,"chimney, crack, face",-,jam,-,0,0,0,0,0,1,1,0,0
WV,106170966,Spiderwalk,The New River Gorge Region > New River Gorge Proper > Fern Buttress > 2) Monolith Wall,https://www.mountainproject.com/route/106170966/spiderwalk,3.1,5.10c,5.10c,10,1,55,-81.07019,38.0657,The New River Gorge Region,New River Gorge Proper,Fern Buttress,NA,0,0,"This route is a right-leaning mostly-fingers broken crack system that increases in difficult to a crescendo in the final moves.  Although there are some solid finger-locks, the crack also has many intermittent 'plates' that induce side-pulling and other techniques.  Great feet, good rests and aesthetic positioning make this route a must-do!  I haven't seen too many people on it, but it is definitely a high-quality route.","Standard rack.  I found it useful to have a few larger pieces, BD 1, 2 and 3 although most is in the finger range.  The flaring top-section, though wide-looking, had bomber placements for both a blue alien and orange metolius.  Bolted anchor.","spiderwalk: this route is a right-leaning mostly-fingers broken crack system that increases in difficult to a crescendo in the final moves.  although there are some solid finger-locks, the crack also has many intermittent 'plates' that induce side-pulling and other techniques.  great feet, good rests and aesthetic positioning make this route a must-do!  i haven't seen too many people on it, but it is definitely a high-quality route.",-,crack,difficult,-,"good, great",0,1,1,0,0,1,1,0,0
WV,107129358,Two Bag Face,The New River Gorge Region > New River Gorge Proper > Fern Buttress > 3) Workmen's Buttress,https://www.mountainproject.com/route/107129358/two-bag-face,3.9,5.9 R,5.9,9,1,80,-81.06911,38.06369,The New River Gorge Region,New River Gorge Proper,Fern Buttress,NA,0.00108000000000174,-0.00200999999999851,"Climb up the chimney formed by a detached block. Step left off the top of the block onto the face, clip a glue-in bolt, and then head into a small crack, finding gear as you go. From the seam, pull up onto a sizeable ledge. Follow smallish holds up to large horizontals trending left, toward the arête. Move across the arête to the left side, take in the view and exposure and follow generous but spaced horizontals to bolted anchors at the top.The direct start to this route is R rated unless you have some very large gear (Big Bro) to plug in the ~20' detached block to start. This R start can be circumvented by walking uphill to climber's right ten feet, climbing the short dihedral to the top of the block, then traversing left. There is no gear, so technically it's still PG13, but much easier climbing than the direct start.","Up to 3"".  One glue in bolt.  Two bolt anchor at the top.","two bag face: climb up the chimney formed by a detached block. step left off the top of the block onto the face, clip a glue-in bolt, and then head into a small crack, finding gear as you go. from the seam, pull up onto a sizeable ledge. follow smallish holds up to large horizontals trending left, toward the arête. move across the arête to the left side, take in the view and exposure and follow generous but spaced horizontals to bolted anchors at the top.the direct start to this route is r rated unless you have some very large gear (big bro) to plug in the ~20' detached block to start. this r start can be circumvented by walking uphill to climber's right ten feet, climbing the short dihedral to the top of the block, then traversing left. there is no gear, so technically it's still pg13, but much easier climbing than the direct start.",-,"arete, chimney, crack, dihedral, exposed, face, ledge",-,technical,easier,0,1,0,0,0,1,1,0,0
WV,120834572,Mrs. Workman’s Corner,The New River Gorge Region > New River Gorge Proper > Fern Buttress > 3) Workmen's Buttress,https://www.mountainproject.com/route/120834572/mrs-workmans-corner,2.3,5.9,5.9,9,1,70,-81.06911,38.06369,The New River Gorge Region,New River Gorge Proper,Fern Buttress,NA,0,0,"Nestled in the corner of the Workman's area. Head up the corner but then figure out how to break left Into the another dihedral and corner. Wiggle up into a small double crack system, then negotiate to the top of the cliff to the bolted anchors.","Standard rack, bolted anchors.","mrs. workman’s corner: nestled in the corner of the workman's area. head up the corner but then figure out how to break left into the another dihedral and corner. wiggle up into a small double crack system, then negotiate to the top of the cliff to the bolted anchors.",-,"crack, dihedral",-,-,-,0,0,0,0,0,1,1,0,0
WV,107129386,Toss that Beat in the Garbage Can,The New River Gorge Region > New River Gorge Proper > Fern Buttress > 3) Workmen's Buttress,https://www.mountainproject.com/route/107129386/toss-that-beat-in-the-garbage-can,3.2,5.10d PG13,5.10d,10,1,80,-81.06911,38.06369,The New River Gorge Region,New River Gorge Proper,Fern Buttress,NA,0,0,"This rounded arete is ""a bit of a sandbag"" according to Mike Williams. I might have to agree. Interesting climbing that will make you thank god every time you get to a stance, and then you'll curse when you have to pull off the ledge with protection that you might not be so psyched on. Stick clip the first bolt and make sure your belayer is paying attention if this is anywhere near your onsite level. Have fun getting off the ground.","One bolt, small cams and TCUs, nuts, maybe tri-cams. Bolt anchor","toss that beat in the garbage can: this rounded arete is ""a bit of a sandbag"" according to mike williams. i might have to agree. interesting climbing that will make you thank god every time you get to a stance, and then you'll curse when you have to pull off the ledge with protection that you might not be so psyched on. stick clip the first bolt and make sure your belayer is paying attention if this is anywhere near your onsite level. have fun getting off the ground.",-,"arete, ledge",stick clip,-,"fun, interesting",0,1,1,0,0,1,1,0,0
