year,film,category,winner,has_indicators,name,mpaa_rating,rating_imdb,rating_rtaudience,rating_rtcritic,release_date,format,genre_action,genre_adventure,genre_biography,genre_comedy,genre_crime,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci-fi,genre_sport,genre_thriller,genre_war,genre_western
1962,West Side Story,BEST PICTURE,1,TRUE,"Robert Wise, Producer",UNRATED,7.6,84,94,1961-12-23,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,Aquamania,SHORT FILM (Animated),0,TRUE,"Walt Disney, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Beep Prepared,SHORT FILM (Animated),0,TRUE,"Chuck Jones, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Ersatz (The Substitute),SHORT FILM (Animated),1,TRUE,Zagreb Film,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Nelly's Folly,SHORT FILM (Animated),0,TRUE,"Chuck Jones, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,The Pied Piper Of Guadalupe,SHORT FILM (Animated),0,TRUE,"Friz Freleng, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Ballon Vole (Play Ball!),SHORT FILM (Live Action),0,TRUE,Ciné-Documents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,The Face Of Jesus,SHORT FILM (Live Action),0,TRUE,"Dr. John D. Jennings, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Rooftops Of New York,SHORT FILM (Live Action),0,TRUE,"Robert Gaffney, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Seawards The Great Ships,SHORT FILM (Live Action),1,TRUE,Templar Film Studios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,"Very Nice, Very Nice",SHORT FILM (Live Action),0,TRUE,National Film Board of Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,The Absent Minded Professor,VISUAL EFFECTS,0,TRUE,"Visual Effects by Robert A. Mattey, Eustace Lycett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,The Guns Of Navarone,VISUAL EFFECTS,1,TRUE,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham,NA,7.6,86,95,1961-06-22,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,Alvorada (Brazil's Changing Face),DOCUMENTARY (Feature),0,TRUE,"Hugo Niebeling, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
