year,film,category,winner,has_indicators,name,mpaa_rating,rating_imdb,rating_rtaudience,rating_rtcritic,release_date,format,genre_action,genre_adventure,genre_biography,genre_comedy,genre_crime,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci-fi,genre_sport,genre_thriller,genre_war,genre_western
1969,The House That Ananda Built,DOCUMENTARY (Short Subject),0,TRUE,"Fali Bilimoria, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Revolving Door,DOCUMENTARY (Short Subject),0,TRUE,"Lee R. Bobker, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,A Space To Grow,DOCUMENTARY (Short Subject),0,TRUE,"Thomas P. Kelly, Jr., Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,A Way Out Of The Wilderness,DOCUMENTARY (Short Subject),0,TRUE,"Dan E. Weisburd, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Why Man Creates,DOCUMENTARY (Short Subject),1,TRUE,"Saul Bass, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Boys Of Paul Street,INTERNATIONAL FEATURE FILM,0,TRUE,Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Firemen's Ball,INTERNATIONAL FEATURE FILM,0,TRUE,Czechoslovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Girl With The Pistol,INTERNATIONAL FEATURE FILM,0,TRUE,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Stolen Kisses,INTERNATIONAL FEATURE FILM,0,TRUE,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,War And Peace,INTERNATIONAL FEATURE FILM,1,TRUE,Union of Soviet Socialist Republics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Fox,MUSIC (Original Score),0,TRUE,Lalo Schifrin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Lion In Winter,MUSIC (Original Score),1,TRUE,John Barry,PG,8.1,90,91,1968-10-30,NA,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1969,Planet Of The Apes,MUSIC (Original Score),0,TRUE,Jerry Goldsmith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Shoes Of The Fisherman,MUSIC (Original Score),0,TRUE,Alex North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Thomas Crown Affair,MUSIC (Original Score),0,TRUE,Michel Legrand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Finian's Rainbow,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Adaptation score by Ray Heindorf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Funny Girl,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Adaptation score by Walter Scharf,G,7.5,85,93,1968-09-19,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,Oliver!,MUSIC (Original Song Score or Adaptation Score),1,TRUE,Adaptation score by John Green,G,7.5,81,81,1968-09-27,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1969,Star!,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Adaptation score by Lennie Hayton,NA,7.48447814451382,75,85.0704483074108,1968-10,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,The Young Girls Of Rochefort,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Music and adaptation score by Michel Legrand; lyrics by Jacques Demy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Funny Girl,BEST PICTURE,0,TRUE,"Ray Stark, Producer",G,7.5,85,93,1968-09-19,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,The Lion In Winter,BEST PICTURE,0,TRUE,"Martin Poll, Producer",PG,8.1,90,91,1968-10-30,NA,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1969,Oliver!,BEST PICTURE,1,TRUE,"John Woolf, Producer",G,7.5,81,81,1968-09-27,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1969,"Rachel, Rachel",BEST PICTURE,0,TRUE,"Paul Newman, Producer",R,7.5,78,86,1968-08-26,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1969,Romeo And Juliet,BEST PICTURE,0,TRUE,"Anthony Havelock-Allan and John Brabourne, Producers",PG,7.6,74,97,1968-10-08,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1969,The House That Jack Built,SHORT FILM (Animated),0,TRUE,"Wolf Koenig and Jim MacKay, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Magic Pear Tree,SHORT FILM (Animated),0,TRUE,"Jimmy Murakami, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Windy Day,SHORT FILM (Animated),0,TRUE,"John Hubley and Faith Hubley, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Winnie The Pooh And The Blustery Day,SHORT FILM (Animated),1,TRUE,"Walt Disney, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,The Dove,SHORT FILM (Live Action),0,TRUE,"George Coe, Sidney Davis and Anthony Lover, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Duo,SHORT FILM (Live Action),0,TRUE,National Film Board of Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Prelude,SHORT FILM (Live Action),0,TRUE,"John Astin, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Robert Kennedy Remembered,SHORT FILM (Live Action),1,TRUE,"Charles Guggenheim, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Ice Station Zebra,VISUAL EFFECTS,0,TRUE,"Hal Millar, J. McMillan Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,2001: A Space Odyssey,VISUAL EFFECTS,1,TRUE,Stanley Kubrick,G,8.3,89,94,1968-05-12,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1970,Arthur Rubinstein - The Love Of Life,DOCUMENTARY (Feature),1,TRUE,"Bernard Chevry, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Before The Mountain Was Moved,DOCUMENTARY (Feature),0,TRUE,"Robert K. Sharpe, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,In The Year Of The Pig,DOCUMENTARY (Feature),0,TRUE,"Emile de Antonio, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,The Olympics In Mexico,DOCUMENTARY (Feature),0,TRUE,Comite Organizador de los Juegos de la XIX Olimpiada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,The Wolf Men,DOCUMENTARY (Feature),0,TRUE,"Irwin Rosten, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Czechoslovakia 1968,DOCUMENTARY (Short Subject),1,TRUE,"Denis Sanders and Robert M. Fresco, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,An Impression Of John Steinbeck: Writer,DOCUMENTARY (Short Subject),0,TRUE,"Donald Wrye, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Jenny Is A Good Thing,DOCUMENTARY (Short Subject),0,TRUE,"Joan Horvath, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Leo Beuerman,DOCUMENTARY (Short Subject),0,TRUE,"Arthur H. Wolf and Russell A. Mosser, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,The Magic Machines,DOCUMENTARY (Short Subject),0,TRUE,"Joan Keller Stern, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Ådalen '31,INTERNATIONAL FEATURE FILM,0,TRUE,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,The Battle Of Neretva,INTERNATIONAL FEATURE FILM,0,TRUE,Yugoslavia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,The Brothers Karamazov,INTERNATIONAL FEATURE FILM,0,TRUE,Union of Soviet Socialist Republics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,My Night At Maud's,INTERNATIONAL FEATURE FILM,0,TRUE,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Z,INTERNATIONAL FEATURE FILM,1,TRUE,Algeria,M,8.2,93,95,1969-12-08,NA,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1970,Anne Of The Thousand Days,MUSIC (Original Score),0,TRUE,Georges Delerue,M,7.6,84,42,1969-12-18,NA,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1970,Butch Cassidy And The Sundance Kid,MUSIC (Original Score),1,TRUE,Burt Bacharach,APPROVED,8.1,92,89,1969-10-24,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,The Reivers,MUSIC (Original Score),0,TRUE,John Williams,PG-13,6.9,47,85.0704483074108,1969-12-25,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,The Secret Of Santa Vittoria,MUSIC (Original Score),0,TRUE,Ernest Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,The Wild Bunch,MUSIC (Original Score),0,TRUE,Jerry Fielding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"Goodbye, Mr. Chips",MUSIC (Original Song Score or Adaptation Score),0,TRUE,Music and lyrics by Leslie Bricusse; adaptation score by John Williams,G,7,71,100,1969-11-24,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1970,"Hello, Dolly!",MUSIC (Original Song Score or Adaptation Score),1,TRUE,Adaptation score by Lennie Hayton and Lionel Newman,G,7.2,76,44,1969-12-16,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Paint Your Wagon,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Adaptation score by Nelson Riddle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Sweet Charity,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Adaptation score by Cy Coleman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"They Shoot Horses, Don't They?",MUSIC (Original Song Score or Adaptation Score),0,TRUE,Adaptation score by John Green and Albert Woodbury,M,7.9,89,84,1970-08-13,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Anne Of The Thousand Days,BEST PICTURE,0,TRUE,"Hal B. Wallis, Producer",M,7.6,84,42,1969-12-18,NA,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1970,Butch Cassidy And The Sundance Kid,BEST PICTURE,0,TRUE,"John Foreman, Producer",APPROVED,8.1,92,89,1969-10-24,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,"Hello, Dolly!",BEST PICTURE,0,TRUE,"Ernest Lehman, Producer",G,7.2,76,44,1969-12-16,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Midnight Cowboy,BEST PICTURE,1,TRUE,"Jerome Hellman, Producer",R,7.9,88,90,1969-06-16,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Z,BEST PICTURE,0,TRUE,"Jacques Perrin and Hamed Rachedi, Producers",M,8.2,93,95,1969-12-08,NA,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1970,It's Tough To Be A Bird,SHORT FILM (Animated),1,TRUE,"Ward Kimball, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Of Men And Demons,SHORT FILM (Animated),0,TRUE,"John Hubley and Faith Hubley, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Walking,SHORT FILM (Animated),0,TRUE,"Ryan Larkin, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Blake,SHORT FILM (Live Action),0,TRUE,"Doug Jackson, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,The Magic Machines,SHORT FILM (Live Action),1,TRUE,"Joan Keller Stern, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,People Soup,SHORT FILM (Live Action),0,TRUE,"Marc Merson, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"Krakatoa, East Of Java",VISUAL EFFECTS,0,TRUE,"Eugene Lourie, Alex Weldon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Marooned,VISUAL EFFECTS,1,TRUE,Robbie Robertson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Chariots Of The Gods,DOCUMENTARY (Feature),0,TRUE,"Dr. Harald Reinl, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Jack Johnson,DOCUMENTARY (Feature),0,TRUE,"Jim Jacobs, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,King: A Filmed Record...Montgomery To Memphis,DOCUMENTARY (Feature),0,TRUE,"Ely Landau, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Say Goodbye,DOCUMENTARY (Feature),0,TRUE,"David H. Vowell, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Woodstock,DOCUMENTARY (Feature),1,TRUE,"Bob Maurice, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,The Gifts,DOCUMENTARY (Short Subject),0,TRUE,"Robert McBride, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Interviews With My Lai Veterans,DOCUMENTARY (Short Subject),1,TRUE,"Joseph Strick, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,A Long Way From Nowhere,DOCUMENTARY (Short Subject),0,TRUE,"Bob Aller, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Oisin,DOCUMENTARY (Short Subject),0,TRUE,"Vivien Carey and Patrick Carey, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Time Is Running Out,DOCUMENTARY (Short Subject),0,TRUE,"Horst Dallmayr and Robert Menegoz, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,First Love,INTERNATIONAL FEATURE FILM,0,TRUE,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Hoa-Binh,INTERNATIONAL FEATURE FILM,0,TRUE,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Investigation Of A Citizen Above Suspicion,INTERNATIONAL FEATURE FILM,1,TRUE,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Paix Sur Les Champs,INTERNATIONAL FEATURE FILM,0,TRUE,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Tristana,INTERNATIONAL FEATURE FILM,0,TRUE,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Airport,MUSIC (Original Score),0,TRUE,Alfred Newman,G,6.6,54,80,1970-03-05,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1971,Cromwell,MUSIC (Original Score),0,TRUE,Frank Cordell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Love Story,MUSIC (Original Score),1,TRUE,Francis Lai,PG,6.9,75,57,1970-12-16,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1971,Patton,MUSIC (Original Score),0,TRUE,Jerry Goldsmith,GP,8,94,95,1970-04-02,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1971,Sunflower,MUSIC (Original Score),0,TRUE,Henry Mancini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,The Baby Maker,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Music by Fred Karlin; lyrics by Tylwyth Kymry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,A Boy Named Charlie Brown,MUSIC (Original Song Score or Adaptation Score),0,TRUE,"Music by Rod McKuen and John Scott Trotter; lyrics by Rod McKuen, Bill Melendez and Al Shean; adaptation score by Vince Guaraldi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Darling Lili,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Music by Henry Mancini; lyrics by Johnny Mercer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Let It Be,MUSIC (Original Song Score or Adaptation Score),1,TRUE,Music and lyrics by The Beatles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Scrooge,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Music and lyrics by Leslie Bricusse; adaptation score by Ian Fraser and Herbert W. Spencer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Airport,BEST PICTURE,0,TRUE,"Ross Hunter, Producer",G,6.6,54,80,1970-03-05,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1971,Five Easy Pieces,BEST PICTURE,0,TRUE,"Bob Rafelson and Richard Wechsler, Producers",R,7.5,84,87,1970-12-10,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,Love Story,BEST PICTURE,0,TRUE,"Howard G. Minsky, Producer",PG,6.9,75,57,1970-12-16,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1971,M*A*S*H,BEST PICTURE,0,TRUE,"Ingo Preminger, Producer",R,7.6,83,87,1970-03-01,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,Patton,BEST PICTURE,1,TRUE,"Frank McCarthy, Producer",GP,8,94,95,1970-04-02,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1971,The Further Adventures Of Uncle Sam: Part Two,SHORT FILM (Animated),0,TRUE,"Robert Mitchell and Dale Case, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Is It Always Right To Be Right?,SHORT FILM (Animated),1,TRUE,"Nick Bosustow, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,The Shepherd,SHORT FILM (Animated),0,TRUE,"Cameron Guess, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,The Resurrection Of Broncho Billy,SHORT FILM (Live Action),1,TRUE,"John Longenecker, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Shut Up...I'm Crying,SHORT FILM (Live Action),0,TRUE,"Robert Siegler, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Sticky My Fingers...Fleet My Feet,SHORT FILM (Live Action),0,TRUE,"John Hancock, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Patton,VISUAL EFFECTS,0,TRUE,Alex Weldon,GP,8,94,95,1970-04-02,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1971,Tora! Tora! Tora!,VISUAL EFFECTS,1,TRUE,"A. D. Flowers, L. B. Abbott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,Alaska Wilderness Lake,DOCUMENTARY (Feature),0,TRUE,"Alan Landsburg, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,The Hellstrom Chronicle,DOCUMENTARY (Feature),1,TRUE,"Walon Green, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,On Any Sunday,DOCUMENTARY (Feature),0,TRUE,"Bruce Brown, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,The Ra Expeditions,DOCUMENTARY (Feature),0,TRUE,"Lennart Ehrenborg and Thor Heyerdahl, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,The Sorrow And The Pity,DOCUMENTARY (Feature),0,TRUE,"Marcel Ophuls, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
