hex,rank,emoji,year,category,subcategory,name,source
\x{1F1E8 1F1ED},837,🇨🇭,2010,Flags,country-flag,flag: Switzerland,2019
\x{1F362},838,🍢,2014,Food & Drink,food-asian,oden,2019
\x{1F5FA FE0F},839,🗺️,2014,Travel & Places,place-map,world map,2019
\x{1F695},840,🚕,2010,Travel & Places,transport-ground,taxi,2019
\x{1F1F7 1F1FA},841,🇷🇺,2010,Flags,country-flag,flag: Russia,2019
\x{24C2 FE0F},842,Ⓜ️,1995,Symbols,alphanum,circled M,2019
\x{26F1 FE0F},843,⛱️,2009,Travel & Places,sky & weather,umbrella on ground,2019
\x{1F9B6},844,🦶,2018,People & Body,body-parts,foot,2019
\x{1F3EB},845,🏫,2014,Travel & Places,place-building,school,2019
\x{1F4C0},846,📀,2014,Objects,computer,dvd,2019
\x{1F199},847,🆙,2010,Symbols,alphanum,UP! button,2019
\x{1F96D},848,🥭,2018,Food & Drink,food-fruit,mango,2019
\x{1F93C},849,🤼,2016,People & Body,person-sport,people wrestling,2019
\x{1F428},850,🐨,2014,Animals & Nature,animal-mammal,koala,2019
\x{1F982},851,🦂,2015,Animals & Nature,animal-bug,scorpion,2019
\x{1F4B7},852,💷,2014,Objects,money,pound banknote,2019
\x{1F948},853,🥈,2016,Activities,award-medal,2nd place medal,2019
\x{1F468 200D 1F4BB},854,👨‍💻,2016,People & Body,person-role,man technologist,2019
\x{1F6CF FE0F},855,🛏️,2014,Objects,household,bed,2019
\x{25FC FE0F},856,◼️,2002,Symbols,geometric,black medium square,2019
\x{1F684},857,🚄,2010,Travel & Places,transport-ground,high-speed train,2019
\x{1F9D6},858,🧖,2017,People & Body,person-activity,person in steamy room,2019
\x{1F3A0},859,🎠,2014,Travel & Places,place-other,carousel horse,2019
\x{1F401},860,🐁,2014,Animals & Nature,animal-mammal,mouse,2019
\x{1F5F3 FE0F},861,🗳️,2014,Objects,mail,ballot box with ballot,2019
\x{1F3EE},862,🏮,2014,Objects,light & video,red paper lantern,2019
\x{1F96A},863,🥪,2017,Food & Drink,food-prepared,sandwich,2019
\x{1F325 FE0F},864,🌥️,2014,Travel & Places,sky & weather,sun behind large cloud,2019
\x{1F6AA},865,🚪,2010,Objects,household,door,2019
\x{3299 FE0F},866,㊙️,1995,Symbols,alphanum,Japanese “secret” button,2019
\x{1F5DE FE0F},867,🗞️,2014,Objects,book-paper,rolled-up newspaper,2019
\x{1F468 200D 2695 FE0F},868,👨‍⚕️,2016,People & Body,person-role,man health worker,2019
\x{1F58A FE0F},869,🖊️,2014,Objects,writing,pen,2019
\x{2B1B},870,⬛,2008,Symbols,geometric,black large square,2019
\x{1F192},871,🆒,2010,Symbols,alphanum,COOL button,2019
\x{1F1E8 1F1FA},872,🇨🇺,2010,Flags,country-flag,flag: Cuba,2019
\x{1F967},873,🥧,2017,Food & Drink,food-sweet,pie,2019
\x{1F469 200D 2695 FE0F},874,👩‍⚕️,2016,People & Body,person-role,woman health worker,2019
\x{1F1F3 1F1EE},875,🇳🇮,2010,Flags,country-flag,flag: Nicaragua,2019
\x{1F468 200D 1F393},876,👨‍🎓,2016,People & Body,person-role,man student,2019
\x{1F6A7},877,🚧,2010,Travel & Places,transport-ground,construction,2019
\x{26D3 FE0F},878,⛓️,2009,Objects,tool,chains,2019
\x{1F6F5},879,🛵,2016,Travel & Places,transport-ground,motor scooter,2019
\x{1F945},880,🥅,2016,Activities,sport,goal net,2019
\x{1F685},881,🚅,2010,Travel & Places,transport-ground,bullet train,2019
\x{1F5BC FE0F},882,🖼️,2014,Activities,arts & crafts,framed picture,2019
\x{267F},883,♿,2005,Symbols,transport-sign,wheelchair symbol,2019
\x{1F4CF},884,📏,2014,Objects,office,straight ruler,2019
\x{1F004},885,🀄,2008,Activities,game,mahjong red dragon,2019
\x{1F58C FE0F},886,🖌️,2014,Objects,writing,paintbrush,2019
\x{1F99C},887,🦜,2018,Animals & Nature,animal-bird,parrot,2019
\x{1F250},888,🉐,2010,Symbols,alphanum,Japanese “bargain” button,2019
\x{1F4EC},889,📬,2014,Objects,mail,open mailbox with raised flag,2019
\x{1F681},890,🚁,2010,Travel & Places,transport-air,helicopter,2019
\x{1F5D1 FE0F},891,🗑️,2014,Objects,office,wastebasket,2019
\x{1F96C},892,🥬,2018,Food & Drink,food-vegetable,leafy green,2019
\x{1F935},893,🤵,2016,People & Body,person-role,man in tuxedo,2019
\x{1F3F7 FE0F},894,🏷️,2014,Objects,book-paper,label,2019
\x{1F321 FE0F},895,🌡️,2010,Travel & Places,sky & weather,thermometer,2019
\x{1F390},896,🎐,2014,Activities,event,wind chime,2019
\x{1F1EF 1F1F2},897,🇯🇲,2010,Flags,country-flag,flag: Jamaica,2019
\x{1F992},898,🦒,2017,Animals & Nature,animal-mammal,giraffe,2019
\x{1F392},899,🎒,2014,Objects,clothing,backpack,2019
\x{1F1F5 1F1FE},900,🇵🇾,2010,Flags,country-flag,flag: Paraguay,2019
\x{1F1FA 1F1E6},901,🇺🇦,2010,Flags,country-flag,flag: Ukraine,2019
\x{1F1F2 1F1E8},902,🇲🇨,2010,Flags,country-flag,flag: Monaco,2019
\x{1F949},903,🥉,2016,Activities,award-medal,3rd place medal,2019
\x{37 FE0F 20E3},904,7️⃣,2010,Symbols,keycap,keycap: 7,2019
\x{231B},905,⌛,1995,Travel & Places,time,hourglass done,2019
\x{1F312},906,🌒,2010,Travel & Places,sky & weather,waxing crescent moon,2019
\x{1F965},907,🥥,2017,Food & Drink,food-fruit,coconut,2019
\x{1F385},908,🎅,2014,People & Body,person-fantasy,Santa Claus,2019
\x{1F9D5},909,🧕,2017,People & Body,person-role,woman with headscarf,2019
\x{1F6D0},910,🛐,2014,Symbols,religion,place of worship,2019
\x{264B},911,♋,1995,Symbols,zodiac,Cancer,2019
\x{1F9D1},912,🧑,2017,People & Body,person,person,2019
\x{1F1E9 1F1F4},913,🇩🇴,2010,Flags,country-flag,flag: Dominican Republic,2019
\x{1F9B8},914,🦸,2018,People & Body,person-fantasy,superhero,2019
\x{1F1EE 1F1EA},915,🇮🇪,2010,Flags,country-flag,flag: Ireland,2019
\x{1F6F8},916,🛸,2017,Travel & Places,transport-air,flying saucer,2019
\x{1F9D2},917,🧒,2017,People & Body,person,child,2019
\x{1F469 200D 1F9B0},918,👩‍🦰,2018,People & Body,person,woman: red hair,2019
\x{1F4E7},919,📧,2014,Objects,mail,e-mail,2019
\x{1F962},920,🥢,2017,Food & Drink,dishware,chopsticks,2019
\x{1F3A2},921,🎢,2014,Travel & Places,place-other,roller coaster,2019
\x{1F42A},922,🐪,2014,Animals & Nature,animal-mammal,camel,2019
\x{1F1EE 1F1F1},923,🇮🇱,2010,Flags,country-flag,flag: Israel,2019
\x{1F468 200D 1F373},924,👨‍🍳,2016,People & Body,person-role,man cook,2019
\x{1F69B},925,🚛,2010,Travel & Places,transport-ground,articulated lorry,2019
\x{1F944},926,🥄,2016,Food & Drink,dishware,spoon,2019
\x{1F939},927,🤹,2016,People & Body,person-sport,person juggling,2019
\x{1F3E2},928,🏢,2014,Travel & Places,place-building,office building,2019
\x{1F488},929,💈,2014,Travel & Places,place-other,barber pole,2019
\x{1F458},930,👘,2014,Objects,clothing,kimono,2019
\x{1F1F3 1F1F4},931,🇳🇴,2010,Flags,country-flag,flag: Norway,2019
\x{1F1EC 1F1ED},932,🇬🇭,2010,Flags,country-flag,flag: Ghana,2019
\x{1F3D4 FE0F},933,🏔️,2014,Travel & Places,place-geographic,snow-capped mountain,2019
\x{303D FE0F},934,〽️,2002,Symbols,other-symbol,part alternation mark,2019
\x{1F6A6},935,🚦,2010,Travel & Places,transport-ground,vertical traffic light,2019
\x{1F1FF 1F1E6},936,🇿🇦,2010,Flags,country-flag,flag: South Africa,2019
\x{1F99E},937,🦞,2018,Food & Drink,food-marine,lobster,2019
\x{1F1F9 1F1F3},938,🇹🇳,2010,Flags,country-flag,flag: Tunisia,2019
\x{1F4BC},939,💼,2014,Objects,office,briefcase,2019
\x{2648},940,♈,1995,Symbols,zodiac,Aries,2019
\x{1F993},941,🦓,2017,Animals & Nature,animal-mammal,zebra,2019
\x{1F99F},942,🦟,2018,Animals & Nature,animal-bug,mosquito,2019
\x{1F6BB},943,🚻,2010,Symbols,transport-sign,restroom,2019
\x{1F3B0},944,🎰,2014,Activities,game,slot machine,2019
\x{25FD},945,◽,2002,Symbols,geometric,white medium-small square,2019
\x{1F997},946,🦗,2017,Animals & Nature,animal-bug,cricket,2019
\x{1F93E},947,🤾,2016,People & Body,person-sport,person playing handball,2019
\x{1F45A},948,👚,2014,Objects,clothing,woman’s clothes,2019
\x{1F461},949,👡,2014,Objects,clothing,woman’s sandal,2019
\x{26CF FE0F},950,⛏️,2010,Objects,tool,pick,2019
\x{39 FE0F 20E3},951,9️⃣,2010,Symbols,keycap,keycap: 9,2019
\x{1F6CE FE0F},952,🛎️,2014,Travel & Places,hotel,bellhop bell,2019
\x{1F417},953,🐗,2014,Animals & Nature,animal-mammal,boar,2019
\x{1F326 FE0F},954,🌦️,2014,Travel & Places,sky & weather,sun behind rain cloud,2019
\x{1F1F8 1F1E6},955,🇸🇦,2010,Flags,country-flag,flag: Saudi Arabia,2019
\x{1F6B9},956,🚹,2010,Symbols,transport-sign,men’s room,2019
\x{1F1FE 1F1EA},957,🇾🇪,2010,Flags,country-flag,flag: Yemen,2019
\x{262A FE0F},958,☪️,1995,Symbols,religion,star and crescent,2019
\x{1F93A},959,🤺,2016,People & Body,person-sport,person fencing,2019
\x{1F6A3},960,🚣,2010,People & Body,person-sport,person rowing boat,2019
\x{1F5FF},961,🗿,2014,Objects,other-object,moai,2019
\x{1F958},962,🥘,2016,Food & Drink,food-prepared,shallow pan of food,2019
\x{1F1E9 1F1F0},963,🇩🇰,2010,Flags,country-flag,flag: Denmark,2019
\x{1F995},964,🦕,2017,Animals & Nature,animal-reptile,sauropod,2019
\x{1F1F1 1F1F7},965,🇱🇷,2010,Flags,country-flag,flag: Liberia,2019
\x{1F3D5 FE0F},966,🏕️,2014,Travel & Places,place-geographic,camping,2019
\x{2623 FE0F},967,☣️,1995,Symbols,warning,biohazard,2019
\x{1F306},968,🌆,2010,Travel & Places,place-other,cityscape at dusk,2019
\x{2195 FE0F},969,↕️,1995,Symbols,arrow,up-down arrow,2019
\x{1F4E8},970,📨,2014,Objects,mail,incoming envelope,2019
\x{1F3E8},971,🏨,2014,Travel & Places,place-building,hotel,2019
\x{1F579 FE0F},972,🕹️,2014,Activities,game,joystick,2019
\x{1F469 200D 1F373},973,👩‍🍳,2016,People & Body,person-role,woman cook,2019
\x{1F1E8 1F1EE},974,🇨🇮,2010,Flags,country-flag,flag: Côte d’Ivoire,2019
\x{1F4EF},975,📯,2014,Objects,sound,postal horn,2019
\x{1F45C},976,👜,2014,Objects,clothing,handbag,2019
\x{1F3D8 FE0F},977,🏘️,2014,Travel & Places,place-building,houses,2019
\x{1F42B},978,🐫,2014,Animals & Nature,animal-mammal,two-hump camel,2019
\x{26FA},979,⛺,2009,Travel & Places,place-other,tent,2019
\x{1F9E9},980,🧩,2018,Activities,game,puzzle piece,2019
\x{1F469 200D 1F3EB},981,👩‍🏫,2016,People & Body,person-role,woman teacher,2019
\x{1F573 FE0F},982,🕳️,2014,Smileys & Emotion,emotion,hole,2019
\x{1F3EF},983,🏯,2014,Travel & Places,place-building,Japanese castle,2019
\x{1F313},984,🌓,2010,Travel & Places,sky & weather,first quarter moon,2019
\x{1F309},985,🌉,2010,Travel & Places,place-other,bridge at night,2019
\x{38 FE0F 20E3},986,8️⃣,2010,Symbols,keycap,keycap: 8,2019
\x{1F482},987,💂,2014,People & Body,person-role,guard,2019
\x{1F509},988,🔉,2015,Objects,sound,speaker medium volume,2019
\x{1F468 200D 1F469 200D 1F467 200D 1F466},989,👨‍👩‍👧‍👦,2010,People & Body,family,"family: man, woman, girl, boy",2019
\x{1F1EA 1F1FA},990,🇪🇺,2010,Flags,country-flag,flag: European Union,2019
\x{1F69C},991,🚜,2010,Travel & Places,transport-ground,tractor,2019
\x{1F515},992,🔕,2015,Objects,sound,bell with slash,2019
\x{1F4E5},993,📥,2014,Objects,mail,inbox tray,2019
\x{1F314},994,🌔,2010,Travel & Places,sky & weather,waxing gibbous moon,2019
\x{1F3D9 FE0F},995,🏙️,2014,Travel & Places,place-other,cityscape,2019
\x{1F968},996,🥨,2017,Food & Drink,food-prepared,pretzel,2019
\x{1F9FC},997,🧼,2018,Objects,household,soap,2019
\x{1F1F2 1F1FE},998,🇲🇾,2010,Flags,country-flag,flag: Malaysia,2019
\x{1F4D8},999,📘,2014,Objects,book-paper,blue book,2019
\x{1F4D7},1000,📗,2014,Objects,book-paper,green book,2019
\x{1F4DC},1001,📜,2014,Objects,book-paper,scroll,2019
\x{1F9B5},1002,🦵,2018,People & Body,body-parts,leg,2019
\x{264F},1003,♏,1995,Symbols,zodiac,Scorpio,2019
\x{1F1E7 1F1F4},1004,🇧🇴,2010,Flags,country-flag,flag: Bolivia,2019
\x{1F3DC FE0F},1005,🏜️,2014,Travel & Places,place-geographic,desert,2019
\x{1F358},1006,🍘,2014,Food & Drink,food-asian,rice cracker,2019
\x{1F6EC},1007,🛬,2014,Travel & Places,transport-air,airplane arrival,2019
\x{1F32F},1008,🌯,2014,Food & Drink,food-prepared,burrito,2019
\x{1F3D7 FE0F},1009,🏗️,2014,Travel & Places,place-building,building construction,2019
\x{1F3F4 E0067 E0062 E0065 E006E E0067 E007F},1010,🏴󠁧󠁢󠁥󠁮󠁧󠁿,2017,Flags,subdivision-flag,flag: England,2019
\x{1F6BC},1011,🚼,2010,Symbols,transport-sign,baby symbol,2019
\x{1F3DE FE0F},1012,🏞️,2014,Travel & Places,place-geographic,national park,2019
\x{1F508},1013,🔈,2015,Objects,sound,speaker low volume,2019
\x{1F570 FE0F},1014,🕰️,2014,Travel & Places,time,mantelpiece clock,2019
\x{1F3D3},1015,🏓,2014,Activities,sport,ping pong,2019
\x{1F1E8 1F1F7},1016,🇨🇷,2010,Flags,country-flag,flag: Costa Rica,2019
\x{1F468 200D 1F33E},1017,👨‍🌾,2016,People & Body,person-role,man farmer,2019
\x{1F9B9},1018,🦹,2018,People & Body,person-fantasy,supervillain,2019
\x{1F983},1019,🦃,2015,Animals & Nature,animal-bird,turkey,2019
\x{1F526},1020,🔦,2015,Objects,light & video,flashlight,2019
\x{1F503},1021,🔃,2015,Symbols,arrow,clockwise vertical arrows,2019
\x{1F1F8 1F1FB},1022,🇸🇻,2010,Flags,country-flag,flag: El Salvador,2019
\x{1F6F3 FE0F},1023,🛳️,2014,Travel & Places,transport-water,passenger ship,2019
\x{1F318},1024,🌘,2010,Travel & Places,sky & weather,waning crescent moon,2019
\x{1F9F9},1025,🧹,2018,Objects,household,broom,2019
\x{1F1E7 1F1E9},1026,🇧🇩,2010,Flags,country-flag,flag: Bangladesh,2019
\x{1F9DB},1027,🧛,2017,People & Body,person-fantasy,vampire,2019
\x{1F469 200D 2764 FE0F 200D 1F469},1028,👩‍❤️‍👩,2010,People & Body,family,"couple with heart: woman, woman",2019
\x{1F51A},1029,🔚,2015,Symbols,arrow,END arrow,2019
\x{1F51F},1030,🔟,2015,Symbols,keycap,keycap: 10,2019
\x{2139 FE0F},1031,ℹ️,2000,Symbols,alphanum,information,2019
\x{1F6E2 FE0F},1032,🛢️,2014,Travel & Places,transport-ground,oil drum,2019
\x{1F3F4 E0067 E0062 E0073 E0063 E0074 E007F},1033,🏴󠁧󠁢󠁳󠁣󠁴󠁿,2017,Flags,subdivision-flag,flag: Scotland,2019
\x{1F3F4 200D 2620 FE0F},1034,🏴‍☠️,2018,Flags,flag,pirate flag,2019
\x{1F1F8 1F1E9},1035,🇸🇩,2010,Flags,country-flag,flag: Sudan,2019
\x{1F52D},1036,🔭,2015,Objects,science,telescope,2019
\x{1F1EE 1F1F6},1037,🇮🇶,2010,Flags,country-flag,flag: Iraq,2019
\x{1F38D},1038,🎍,2014,Activities,event,pine decoration,2019
\x{1F9EC},1039,🧬,2018,Objects,science,dna,2019
\x{1F963},1040,🥣,2017,Food & Drink,food-prepared,bowl with spoon,2019
\x{1F317},1041,🌗,2010,Travel & Places,sky & weather,last quarter moon,2019
\x{2196 FE0F},1042,↖️,1995,Symbols,arrow,up-left arrow,2019
\x{1F3B3},1043,🎳,2014,Activities,sport,bowling,2019
\x{1F468 200D 2764 FE0F 200D 1F48B 200D 1F468},1044,👨‍❤️‍💋‍👨,2010,People & Body,family,"kiss: man, man",2019
\x{1F468 200D 1F3EB},1045,👨‍🏫,2016,People & Body,person-role,man teacher,2019
\x{1F4C4},1046,📄,2014,Objects,book-paper,page facing up,2019
\x{1F1F6 1F1E6},1047,🇶🇦,2010,Flags,country-flag,flag: Qatar,2019
\x{1F468 200D 1F469 200D 1F467},1048,👨‍👩‍👧,2010,People & Body,family,"family: man, woman, girl",2019
\x{1F39A FE0F},1049,🎚️,2014,Objects,music,level slider,2019
\x{1F6E0 FE0F},1050,🛠️,2014,Objects,tool,hammer and wrench,2019
\x{1F193},1051,🆓,2010,Symbols,alphanum,FREE button,2019
\x{1F1F5 1F1F8},1052,🇵🇸,2010,Flags,country-flag,flag: Palestinian Territories,2019
\x{1F99A},1053,🦚,2018,Animals & Nature,animal-bird,peacock,2019
\x{1F469 200D 1F9B1},1054,👩‍🦱,2018,People & Body,person,woman: curly hair,2019
\x{1F3DB FE0F},1055,🏛️,2014,Travel & Places,place-building,classical building,2019
\x{2650},1056,♐,1995,Symbols,zodiac,Sagittarius,2019
\x{1F9E6},1057,🧦,2017,Objects,clothing,socks,2019
\x{1F5FE},1058,🗾,2014,Travel & Places,place-map,map of Japan,2019
\x{1F469 200D 1F33E},1059,👩‍🌾,2016,People & Body,person-role,woman farmer,2019
\x{1F391},1060,🎑,2014,Activities,event,moon viewing ceremony,2019
\x{1F1EC 1F1F9},1061,🇬🇹,2010,Flags,country-flag,flag: Guatemala,2019
\x{1F9E4},1062,🧤,2017,Objects,clothing,gloves,2019
\x{1F9DD},1063,🧝,2017,People & Body,person-fantasy,elf,2019
\x{27BF},1064,➿,2010,Symbols,other-symbol,double curly loop,2019
\x{1F1FB 1F1F3},1065,🇻🇳,2010,Flags,country-flag,flag: Vietnam,2019
\x{1F4D2},1066,📒,2014,Objects,book-paper,ledger,2019
\x{2649},1067,♉,1995,Symbols,zodiac,Taurus,2019
\x{2653},1068,♓,1995,Symbols,zodiac,Pisces,2019
\x{1F6AD},1069,🚭,2010,Symbols,warning,no smoking,2019
\x{1F527},1070,🔧,2015,Objects,tool,wrench,2019
\x{1F9EA},1071,🧪,2018,Objects,science,test tube,2019
\x{264C},1072,♌,1995,Symbols,zodiac,Leo,2019
\x{21A9 FE0F},1073,↩️,1995,Symbols,arrow,right arrow curving left,2019
\x{2652},1074,♒,1995,Symbols,zodiac,Aquarius,2019
\x{1F3E6},1075,🏦,2014,Travel & Places,place-building,bank,2019
\x{1F235},1076,🈵,2010,Symbols,alphanum,Japanese “no vacancy” button,2019
\x{1F96B},1077,🥫,2017,Food & Drink,food-prepared,canned food,2019
\x{1F316},1078,🌖,2010,Travel & Places,sky & weather,waning gibbous moon,2019
\x{1F6F4},1079,🛴,2016,Travel & Places,transport-ground,kick scooter,2019
\x{1F696},1080,🚖,2010,Travel & Places,transport-ground,oncoming taxi,2019
\x{1F959},1081,🥙,2016,Food & Drink,food-prepared,stuffed flatbread,2019
\x{1F6F0 FE0F},1082,🛰️,2014,Travel & Places,transport-air,satellite,2019
\x{1F98F},1083,🦏,2016,Animals & Nature,animal-mammal,rhinoceros,2019
\x{1F468 200D 1F9B3},1084,👨‍🦳,2018,People & Body,person,man: white hair,2019
\x{1F1F8 1F1EC},1085,🇸🇬,2010,Flags,country-flag,flag: Singapore,2019
\x{1F9A0},1086,🦠,2018,Animals & Nature,animal-bug,microbe,2019
\x{23FA FE0F},1087,⏺️,2014,Symbols,av-symbol,record button,2019
\x{1F58D FE0F},1088,🖍️,2014,Objects,writing,crayon,2019
\x{26F8 FE0F},1089,⛸️,2009,Activities,sport,ice skate,2019
\x{1F4D9},1090,📙,2014,Objects,book-paper,orange book,2019
\x{1F472},1091,👲,2014,People & Body,person-role,man with skullcap,2019
\x{1F3C2},1092,🏂,2014,People & Body,person-sport,snowboarder,2019
\x{2A FE0F 20E3},1093,*️⃣,2010,Symbols,keycap,keycap: *,2019
\x{1F532},1094,🔲,2015,Symbols,geometric,black square button,2019
\x{1F1ED 1F1FA},1095,🇭🇺,2010,Flags,country-flag,flag: Hungary,2019
\x{1F690},1096,🚐,2010,Travel & Places,transport-ground,minibus,2019
\x{1F468 200D 2764 FE0F 200D 1F468},1097,👨‍❤️‍👨,2010,People & Body,family,"couple with heart: man, man",2019
\x{1F507},1098,🔇,2015,Objects,sound,muted speaker,2019
\x{1F994},1099,🦔,2017,Animals & Nature,animal-mammal,hedgehog,2019
\x{1F52F},1100,🔯,2015,Symbols,religion,dotted six-pointed star,2019
\x{1F6B5},1101,🚵,2010,People & Body,person-sport,person mountain biking,2019
\x{1F96F},1102,🥯,2018,Food & Drink,food-prepared,bagel,2019
\x{1F6AF},1103,🚯,2010,Symbols,warning,no littering,2019
\x{1F55B},1104,🕛,2010,Travel & Places,time,twelve o’clock,2019
\x{1F4FC},1105,📼,2014,Objects,light & video,videocassette,2019
\x{1F9D3},1106,🧓,2017,People & Body,person,older person,2019
\x{1F39B FE0F},1107,🎛️,2014,Objects,music,control knobs,2019
\x{1F1E8 1F1FF},1108,🇨🇿,2010,Flags,country-flag,flag: Czechia,2019
\x{1F1ED 1F1F0},1109,🇭🇰,2010,Flags,country-flag,flag: Hong Kong SAR China,2019
\x{1F4BA},1110,💺,2014,Travel & Places,transport-air,seat,2019
\x{1F469 200D 1F3A4},1111,👩‍🎤,2016,People & Body,person-role,woman singer,2019
\x{26F2},1112,⛲,2009,Travel & Places,place-other,fountain,2019
\x{269B FE0F},1113,⚛️,2005,Symbols,religion,atom symbol,2019
\x{1F552},1114,🕒,2010,Travel & Places,time,three o’clock,2019
\x{1F4F6},1115,📶,2014,Symbols,av-symbol,antenna bars,2019
\x{1F68B},1116,🚋,2010,Travel & Places,transport-ground,tram car,2019
\x{1F1F1 1F1E7},1117,🇱🇧,2010,Flags,country-flag,flag: Lebanon,2019
\x{1F4E0},1118,📠,2014,Objects,phone,fax machine,2019
\x{1F687},1119,🚇,2010,Travel & Places,transport-ground,metro,2019
\x{1F97E},1120,🥾,2018,Objects,clothing,hiking boot,2019
\x{23F2 FE0F},1121,⏲️,2010,Travel & Places,time,timer clock,2019
\x{23EA},1122,⏪,2010,Symbols,av-symbol,fast reverse button,2019
\x{1F1F0 1F1FC},1123,🇰🇼,2010,Flags,country-flag,flag: Kuwait,2019
\x{1F9F2},1124,🧲,2018,Objects,tool,magnet,2019
\x{1F6C3},1125,🛃,2010,Symbols,transport-sign,customs,2019
\x{1F1ED 1F1F3},1126,🇭🇳,2010,Flags,country-flag,flag: Honduras,2019
\x{1F468 200D 2708 FE0F},1127,👨‍✈️,2016,People & Body,person-role,man pilot,2019
\x{1F4D3},1128,📓,2014,Objects,book-paper,notebook,2019
\x{1F469 200D 1F467},1129,👩‍👧,2016,People & Body,family,"family: woman, girl",2019
\x{264E},1130,♎,1995,Symbols,zodiac,Libra,2019
\x{1F3D1},1131,🏑,2014,Activities,sport,field hockey,2019
\x{1F4CB},1132,📋,2014,Objects,office,clipboard,2019
\x{1F53C},1133,🔼,2015,Symbols,av-symbol,upwards button,2019
\x{1F1E8 1F1F5},1134,🇨🇵,2010,Flags,country-flag,flag: Clipperton Island,2019
\x{1F1EF 1F1F4},1135,🇯🇴,2010,Flags,country-flag,flag: Jordan,2019
\x{1F4C3},1136,📃,2014,Objects,book-paper,page with curl,2019
\x{1F9F1},1137,🧱,2018,Travel & Places,place-building,brick,2019
\x{1F52C},1138,🔬,2015,Objects,science,microscope,2019
\x{1F1EB 1F1EE},1139,🇫🇮,2010,Flags,country-flag,flag: Finland,2019
\x{1F6A5},1140,🚥,2010,Travel & Places,transport-ground,horizontal traffic light,2019
\x{1F1F1 1F1F0},1141,🇱🇰,2010,Flags,country-flag,flag: Sri Lanka,2019
\x{264D},1142,♍,1995,Symbols,zodiac,Virgo,2019
\x{1F1F5 1F1E6},1143,🇵🇦,2010,Flags,country-flag,flag: Panama,2019
\x{1F1F8 1F1FE},1144,🇸🇾,2010,Flags,country-flag,flag: Syria,2019
\x{1F6BE},1145,🚾,2010,Symbols,transport-sign,water closet,2019
\x{1F1ED 1F1F7},1146,🇭🇷,2010,Flags,country-flag,flag: Croatia,2019
\x{1F1F3 1F1FF},1147,🇳🇿,2010,Flags,country-flag,flag: New Zealand,2019
\x{1F68D},1148,🚍,2010,Travel & Places,transport-ground,oncoming bus,2019
\x{1F3F8},1149,🏸,2014,Activities,sport,badminton,2019
\x{1F533},1150,🔳,2015,Symbols,geometric,white square button,2019
\x{1F6C2},1151,🛂,2010,Symbols,transport-sign,passport control,2019
\x{1F4F5},1152,📵,2014,Symbols,warning,no mobile phones,2019
\x{26D1 FE0F},1153,⛑️,2009,Objects,clothing,rescue worker’s helmet,2019
\x{1F3DA FE0F},1154,🏚️,2014,Travel & Places,place-building,derelict house,2019
\x{1F3BD},1155,🎽,2014,Activities,sport,running shirt,2019
\x{1F6B0},1156,🚰,2010,Symbols,transport-sign,potable water,2019
\x{1F3EA},1157,🏪,2014,Travel & Places,place-building,convenience store,2019
\x{26F7 FE0F},1158,⛷️,2009,People & Body,person-sport,skier,2019
\x{1F469 200D 1F4BC},1159,👩‍💼,2016,People & Body,person-role,woman office worker,2019
\x{2651},1160,♑,1995,Symbols,zodiac,Capricorn,2019
\x{1F1E8 1F1F2},1161,🇨🇲,2010,Flags,country-flag,flag: Cameroon,2019
\x{1F468 200D 1F9B1},1162,👨‍🦱,2018,People & Body,person,man: curly hair,2019
\x{1F1F1 1F1FE},1163,🇱🇾,2010,Flags,country-flag,flag: Libya,2019
\x{23EB},1164,⏫,2010,Symbols,av-symbol,fast up button,2019
\x{1F3E3},1165,🏣,2014,Travel & Places,place-building,Japanese post office,2019
\x{1F689},1166,🚉,2010,Travel & Places,transport-ground,station,2019
\x{1F6C5},1167,🛅,2010,Symbols,transport-sign,left luggage,2019
\x{2695 FE0F},1168,⚕️,2016,Symbols,other-symbol,medical symbol,2019
\x{26F4 FE0F},1169,⛴️,2009,Travel & Places,transport-water,ferry,2019
\x{1F441 FE0F 200D 1F5E8 FE0F},1170,👁️‍🗨️,2014,Smileys & Emotion,emotion,eye in speech bubble,2019
\x{1F3E7},1171,🏧,2014,Symbols,transport-sign,ATM sign,2019
\x{25FB FE0F},1172,◻️,2002,Symbols,geometric,white medium square,2019
\x{1F469 200D 1F52C},1173,👩‍🔬,2016,People & Body,person-role,woman scientist,2019
\x{23F9 FE0F},1174,⏹️,2014,Symbols,av-symbol,stop button,2019
\x{1F1F7 1F1F4},1175,🇷🇴,2010,Flags,country-flag,flag: Romania,2019
\x{1F469 200D 1F466},1176,👩‍👦,2016,People & Body,family,"family: woman, boy",2019
\x{2B1C},1177,⬜,2008,Symbols,geometric,white large square,2019
\x{1F9B4},1178,🦴,2018,People & Body,body-parts,bone,2019
\x{23 FE0F 20E3},1179,#️⃣,2010,Symbols,keycap,keycap: #,2019
\x{1F1E6 1F1F1},1180,🇦🇱,2010,Flags,country-flag,flag: Albania,2019
\x{1F1F9 1F1FC},1181,🇹🇼,2010,Flags,country-flag,flag: Taiwan,2019
\x{1F468 200D 1F9B0},1182,👨‍🦰,2018,People & Body,person,man: red hair,2019
\x{1F6E3 FE0F},1183,🛣️,2014,Travel & Places,transport-ground,motorway,2019
\x{1F3E4},1184,🏤,2014,Travel & Places,place-building,post office,2019
