hex,rank,emoji,year,category,subcategory,name,source
\x{1F52A},288,🔪,2010,Food & Drink,dishware,kitchen knife,2021
\x{1F627},289,😧,2015,Smileys & Emotion,face-concerned,anguished face,2021
\x{1F304},290,🌄,2010,Travel & Places,place-other,sunrise over mountains,2021
\x{1F63E},291,😾,2010,Smileys & Emotion,cat-face,pouting cat,2021
\x{2708 FE0F},292,✈️,2010,Travel & Places,transport-air,airplane,2021
\x{1F938},293,🤸,2016,People & Body,person-sport,person cartwheeling,2021
\x{1F4F1},294,📱,2010,Objects,phone,mobile phone,2021
\x{1F347},295,🍇,2010,Food & Drink,food-fruit,grapes,2021
\x{1F334},296,🌴,2010,Animals & Nature,plant-other,palm tree,2021
\x{1F422},297,🐢,2010,Animals & Nature,animal-reptile,turtle,2021
\x{1F303},298,🌃,2010,Travel & Places,place-other,night with stars,2021
\x{1F47D},299,👽,2010,Smileys & Emotion,face-costume,alien,2021
\x{1F34C},300,🍌,2010,Food & Drink,food-fruit,banana,2021
\x{1F4FA},301,📺,2010,Objects,light & video,television,2021
\x{1F450},302,👐,2010,People & Body,hands,open hands,2021
\x{23F0},303,⏰,2010,Travel & Places,time,alarm clock,2021
\x{1F514},304,🔔,2010,Objects,sound,bell,2021
\x{1F305},305,🌅,2010,Travel & Places,place-other,sunrise,2021
\x{1F984},306,🦄,2015,Animals & Nature,animal-mammal,unicorn,2021
\x{2B55},307,⭕,2010,Symbols,other-symbol,hollow red circle,2021
\x{1F3A5},308,🎥,2010,Objects,light & video,movie camera,2021
\x{25B6 FE0F},309,▶️,2010,Symbols,av-symbol,play button,2021
\x{1F34B},310,🍋,2015,Food & Drink,food-fruit,lemon,2021
\x{1F95A},311,🥚,2016,Food & Drink,food-prepared,egg,2021
\x{1F4B2},312,💲,2010,Symbols,currency,heavy dollar sign,2021
\x{1F4DA},313,📚,2010,Objects,book-paper,books,2021
\x{1F414},314,🐔,2010,Animals & Nature,animal-bird,chicken,2021
\x{1F3B8},315,🎸,2010,Objects,musical-instrument,guitar,2021
