route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Second Law of Physics,Euro Wall > Two Mile Boulderfield > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125594611/second-law-of-physics,2,Boulder,V3,1,NA,36.3864,-80.29475
GHC,Zschiesche's Corridor Left Side > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125326994/ghc,2,Boulder,V3,1,NA,36.397,-80.28752
Second String,Bench Boulder > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125280511/second-string,2.8,Boulder,V3,1,NA,36.39747,-80.28772
MVP,Bench Boulder > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125280634/mvp,3,Boulder,V3,1,NA,36.39747,-80.28772
Mellow Moe,Shermanator > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/126151735/mellow-moe,3,Boulder,V3,1,NA,36.39719,-80.28758
Norsk Country,Proper Modulation Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125089163/norsk-country,2.8,Boulder,V3,1,NA,36.40048,-80.28448
Mr Hesitation,The Brink > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/124158634/mr-hesitation,3,Boulder,V3,1,12,36.40231,-80.28532
Chicks Love Unibrows,Uniprow Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/124263092/chicks-love-unibrows,2.9,Boulder,V3,1,NA,36.40134,-80.28398
Cloud of the Unknown,White Monster Boulder > North End Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/126151577/cloud-of-the-unknown,2,Boulder,V3,1,NA,36.40222,-80.27957
Field Extension,Wave Boulder > 107 Boulders > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200574289/field-extension,2,Boulder,V3,1,12,35.19565,-83.13872
